timeslice,asset,year,commodity,month,day,hour,region,technology,installed,supply
0,0,2025,electricity,all-year,all-week,night,R1,gasCCGT,2020,0.42220000000
0,0,2025,CO2f,all-year,all-week,night,R1,gasCCGT,2020,38.70510000000
0,3,2030,electricity,all-year,all-week,night,R1,windturbine,2025,0.66670000000
1,0,2025,electricity,all-year,all-week,morning,R1,gasCCGT,2020,0.63330000000
1,0,2025,CO2f,all-year,all-week,morning,R1,gasCCGT,2020,58.05770000000
1,3,2030,electricity,all-year,all-week,morning,R1,windturbine,2025,0.50000000000
2,0,2025,electricity,all-year,all-week,afternoon,R1,gasCCGT,2020,0.60000000000
2,0,2025,CO2f,all-year,all-week,afternoon,R1,gasCCGT,2020,55.00200000000
2,3,2030,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.50000000000
3,0,2025,electricity,all-year,all-week,early-peak,R1,gasCCGT,2020,0.63330000000
3,0,2025,CO2f,all-year,all-week,early-peak,R1,gasCCGT,2020,58.05770000000
3,3,2030,electricity,all-year,all-week,early-peak,R1,windturbine,2025,1.00000000000
4,0,2025,electricity,all-year,all-week,late-peak,R1,gasCCGT,2020,1.26670000000
4,0,2025,CO2f,all-year,all-week,late-peak,R1,gasCCGT,2020,116.11530000000
4,3,2030,electricity,all-year,all-week,late-peak,R1,windturbine,2025,1.00000000000
5,0,2025,electricity,all-year,all-week,evening,R1,gasCCGT,2020,1.00000000000
5,0,2025,CO2f,all-year,all-week,evening,R1,gasCCGT,2020,91.67000000000
5,3,2030,electricity,all-year,all-week,evening,R1,windturbine,2025,1.00000000000
