commodity,region,year,asset,technology,installed,supply
electricity,USA,2025,0,gasboiler,2020,0.00000000000
electricity,USA,2025,1,gasboiler,2025,0.00000000000
electricity,USA,2025,2,heatpump,2020,0.00000000000
electricity,USA,2025,3,heatpump,2025,0.00000000000
electricity,USA,2030,0,gasboiler,2020,0.00000000000
electricity,USA,2030,1,gasboiler,2025,0.00000000000
electricity,USA,2030,2,heatpump,2020,0.00000000000
electricity,USA,2030,3,heatpump,2025,0.00000000000
gas,USA,2025,0,gasboiler,2020,0.00000000000
gas,USA,2025,1,gasboiler,2025,0.00000000000
gas,USA,2025,2,heatpump,2020,0.00000000000
gas,USA,2025,3,heatpump,2025,0.00000000000
gas,USA,2030,0,gasboiler,2020,0.00000000000
gas,USA,2030,1,gasboiler,2025,0.00000000000
gas,USA,2030,2,heatpump,2020,0.00000000000
gas,USA,2030,3,heatpump,2025,0.00000000000
heat,USA,2025,0,gasboiler,2020,2.77777777778
heat,USA,2025,1,gasboiler,2025,0.00000000000
heat,USA,2025,2,heatpump,2020,10.55555555556
heat,USA,2025,3,heatpump,2025,0.00000000000
heat,USA,2030,0,gasboiler,2020,0.00000000000
heat,USA,2030,1,gasboiler,2025,0.00000000000
heat,USA,2030,2,heatpump,2020,10.55555555556
heat,USA,2030,3,heatpump,2025,6.11111111111
CO2f,USA,2025,0,gasboiler,2020,179.73856208333
CO2f,USA,2025,1,gasboiler,2025,0.00000000000
CO2f,USA,2025,2,heatpump,2020,0.00000000000
CO2f,USA,2025,3,heatpump,2025,0.00000000000
CO2f,USA,2030,0,gasboiler,2020,0.00000000000
CO2f,USA,2030,1,gasboiler,2025,0.00000000000
CO2f,USA,2030,2,heatpump,2020,0.00000000000
CO2f,USA,2030,3,heatpump,2025,0.00000000000
