timeslice,commodity,region,year,asset,installed,technology,month,day,hour,supply
0,heat,R1,2050,1,2040,heatpump,all-year,all-week,night,0.60990000000
0,heat,R1,2050,2,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R1,2050,5,2040,heatpump,all-year,all-week,night,0.60990000000
0,heat,R1,2050,6,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R1,2055,2,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R1,2055,3,2050,heatpump,all-year,all-week,night,0.60990000000
0,heat,R1,2055,6,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R1,2055,7,2050,heatpump,all-year,all-week,night,0.60990000000
0,heat,R2,2050,1,2040,heatpump,all-year,all-week,night,0.60990000000
0,heat,R2,2050,2,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R2,2050,5,2040,heatpump,all-year,all-week,night,0.60990000000
0,heat,R2,2050,6,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R2,2055,2,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R2,2055,3,2050,heatpump,all-year,all-week,night,0.60990000000
0,heat,R2,2055,6,2045,heatpump,all-year,all-week,night,0.46110000000
0,heat,R2,2055,7,2050,heatpump,all-year,all-week,night,0.60990000000
1,heat,R1,2050,1,2040,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R1,2050,2,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R1,2050,5,2040,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R1,2050,6,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R1,2055,2,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R1,2055,3,2050,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R1,2055,6,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R1,2055,7,2050,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R2,2050,1,2040,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R2,2050,2,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R2,2050,5,2040,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R2,2050,6,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R2,2055,2,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R2,2055,3,2050,heatpump,all-year,all-week,morning,0.91480000000
1,heat,R2,2055,6,2045,heatpump,all-year,all-week,morning,0.69170000000
1,heat,R2,2055,7,2050,heatpump,all-year,all-week,morning,0.91480000000
2,heat,R1,2050,1,2040,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R1,2050,2,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R1,2050,5,2040,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R1,2050,6,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R1,2055,2,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R1,2055,3,2050,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R1,2055,6,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R1,2055,7,2050,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R2,2050,1,2040,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R2,2050,2,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R2,2050,5,2040,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R2,2050,6,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R2,2055,2,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R2,2055,3,2050,heatpump,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R2,2055,6,2045,heatpump,all-year,all-week,mid-afternoon,0.46110000000
2,heat,R2,2055,7,2050,heatpump,all-year,all-week,mid-afternoon,0.60990000000
3,heat,R1,2050,1,2040,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R1,2050,2,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R1,2050,5,2040,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R1,2050,6,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R1,2055,2,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R1,2055,3,2050,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R1,2055,6,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R1,2055,7,2050,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R2,2050,1,2040,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R2,2050,2,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R2,2050,5,2040,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R2,2050,6,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R2,2055,2,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R2,2055,3,2050,heatpump,all-year,all-week,early-peak,0.91480000000
3,heat,R2,2055,6,2045,heatpump,all-year,all-week,early-peak,0.69170000000
3,heat,R2,2055,7,2050,heatpump,all-year,all-week,early-peak,0.91480000000
4,heat,R1,2050,1,2040,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R1,2050,2,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R1,2050,5,2040,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R1,2050,6,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R1,2055,2,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R1,2055,3,2050,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R1,2055,6,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R1,2055,7,2050,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R2,2050,1,2040,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R2,2050,2,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R2,2050,5,2040,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R2,2050,6,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R2,2055,2,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R2,2055,3,2050,heatpump,all-year,all-week,late-peak,1.83050000000
4,heat,R2,2055,6,2045,heatpump,all-year,all-week,late-peak,1.38400000000
4,heat,R2,2055,7,2050,heatpump,all-year,all-week,late-peak,1.83050000000
5,heat,R1,2050,1,2040,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R1,2050,2,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R1,2050,5,2040,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R1,2050,6,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R1,2055,2,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R1,2055,3,2050,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R1,2055,6,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R1,2055,7,2050,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R2,2050,1,2040,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R2,2050,2,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R2,2050,5,2040,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R2,2050,6,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R2,2055,2,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R2,2055,3,2050,heatpump,all-year,all-week,evening,1.22060000000
5,heat,R2,2055,6,2045,heatpump,all-year,all-week,evening,0.92290000000
5,heat,R2,2055,7,2050,heatpump,all-year,all-week,evening,1.22060000000
6,heat,R1,2050,1,2040,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R1,2050,2,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R1,2050,5,2040,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R1,2050,6,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R1,2055,2,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R1,2055,3,2050,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R1,2055,6,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R1,2055,7,2050,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R2,2050,1,2040,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R2,2050,2,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R2,2050,5,2040,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R2,2050,6,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R2,2055,2,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R2,2055,3,2050,heatpump,all-year,all-week,early-morning,1.22060000000
6,heat,R2,2055,6,2045,heatpump,all-year,all-week,early-morning,0.92290000000
6,heat,R2,2055,7,2050,heatpump,all-year,all-week,early-morning,1.22060000000
7,heat,R1,2050,1,2040,heatpump,all-year,all-week,late-afternoon,1.22060000000
