timeslice,asset,year,commodity,month,day,hour,region,technology,installed,supply
0,0,2040,electricity,all-year,all-week,night,R1,windturbine,2020,0.15820000000
0,0,2045,electricity,all-year,all-week,night,R1,windturbine,2020,0.13660000000
0,1,2040,electricity,all-year,all-week,night,R1,windturbine,2025,0.22200000000
0,1,2045,electricity,all-year,all-week,night,R1,windturbine,2025,0.19160000000
0,2,2040,electricity,all-year,all-week,night,R1,windturbine,2030,0.24260000000
0,2,2045,electricity,all-year,all-week,night,R1,windturbine,2030,0.20930000000
0,3,2040,electricity,all-year,all-week,night,R1,windturbine,2035,0.29030000000
0,3,2045,electricity,all-year,all-week,night,R1,windturbine,2035,0.25050000000
0,4,2045,electricity,all-year,all-week,night,R1,windturbine,2040,0.25840000000
1,0,2040,electricity,all-year,all-week,morning,R1,windturbine,2020,0.23740000000
1,0,2045,electricity,all-year,all-week,morning,R1,windturbine,2020,0.20490000000
1,1,2040,electricity,all-year,all-week,morning,R1,windturbine,2025,0.33300000000
1,1,2045,electricity,all-year,all-week,morning,R1,windturbine,2025,0.28740000000
1,2,2040,electricity,all-year,all-week,morning,R1,windturbine,2030,0.36380000000
1,2,2045,electricity,all-year,all-week,morning,R1,windturbine,2030,0.31400000000
1,3,2040,electricity,all-year,all-week,morning,R1,windturbine,2035,0.43540000000
1,3,2045,electricity,all-year,all-week,morning,R1,windturbine,2035,0.37580000000
1,4,2045,electricity,all-year,all-week,morning,R1,windturbine,2040,0.38760000000
2,0,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2020,0.15820000000
2,0,2045,electricity,all-year,all-week,afternoon,R1,windturbine,2020,0.13660000000
2,1,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.22200000000
2,1,2045,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.19160000000
2,2,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2030,0.24260000000
2,2,2045,electricity,all-year,all-week,afternoon,R1,windturbine,2030,0.20930000000
2,3,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2035,0.29030000000
2,3,2045,electricity,all-year,all-week,afternoon,R1,windturbine,2035,0.25050000000
2,4,2045,electricity,all-year,all-week,afternoon,R1,windturbine,2040,0.25840000000
3,0,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2020,0.23740000000
3,0,2045,electricity,all-year,all-week,early-peak,R1,windturbine,2020,0.20490000000
3,1,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2025,0.33300000000
3,1,2045,electricity,all-year,all-week,early-peak,R1,windturbine,2025,0.28740000000
3,2,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2030,0.36380000000
3,2,2045,electricity,all-year,all-week,early-peak,R1,windturbine,2030,0.31400000000
3,3,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2035,0.43540000000
3,3,2045,electricity,all-year,all-week,early-peak,R1,windturbine,2035,0.37580000000
3,4,2045,electricity,all-year,all-week,early-peak,R1,windturbine,2040,0.38760000000
4,0,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2020,0.47470000000
4,0,2045,electricity,all-year,all-week,late-peak,R1,windturbine,2020,0.40970000000
4,1,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2025,0.66610000000
4,1,2045,electricity,all-year,all-week,late-peak,R1,windturbine,2025,0.57480000000
4,2,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2030,0.72770000000
4,2,2045,electricity,all-year,all-week,late-peak,R1,windturbine,2030,0.62800000000
4,3,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2035,0.87080000000
4,3,2045,electricity,all-year,all-week,late-peak,R1,windturbine,2035,0.75150000000
4,4,2045,electricity,all-year,all-week,late-peak,R1,windturbine,2040,0.77530000000
5,0,2040,electricity,all-year,all-week,evening,R1,windturbine,2020,0.31650000000
5,0,2045,electricity,all-year,all-week,evening,R1,windturbine,2020,0.27310000000
5,1,2040,electricity,all-year,all-week,evening,R1,windturbine,2025,0.44400000000
5,1,2045,electricity,all-year,all-week,evening,R1,windturbine,2025,0.38320000000
5,2,2040,electricity,all-year,all-week,evening,R1,windturbine,2030,0.48510000000
5,2,2045,electricity,all-year,all-week,evening,R1,windturbine,2030,0.41870000000
5,3,2040,electricity,all-year,all-week,evening,R1,windturbine,2035,0.58060000000
5,3,2045,electricity,all-year,all-week,evening,R1,windturbine,2035,0.50100000000
5,4,2045,electricity,all-year,all-week,evening,R1,windturbine,2040,0.51680000000
