month,day,hour,region,technology,installed,supply
all-year,all-week,night,R1,windturbine,2020,0.13330000000
all-year,all-week,night,R1,windturbine,2025,0.13330000000
all-year,all-week,night,R1,windturbine,2025,0.13330000000
all-year,all-week,night,R1,windturbine,2030,0.26670000000
all-year,all-week,night,R1,windturbine,2030,0.26670000000
all-year,all-week,night,R1,windturbine,2035,0.26670000000
all-year,all-week,night,R1,windturbine,2035,0.26670000000
all-year,all-week,night,R1,windturbine,2040,0.26670000000
all-year,all-week,night,R1,windturbine,2040,0.26670000000
all-year,all-week,night,R1,windturbine,2045,0.26670000000
all-year,all-week,morning,R1,windturbine,2020,0.20000000000
all-year,all-week,morning,R1,windturbine,2025,0.20000000000
all-year,all-week,morning,R1,windturbine,2025,0.20000000000
all-year,all-week,morning,R1,windturbine,2030,0.40000000000
all-year,all-week,morning,R1,windturbine,2030,0.40000000000
all-year,all-week,morning,R1,windturbine,2035,0.40000000000
all-year,all-week,morning,R1,windturbine,2035,0.40000000000
all-year,all-week,morning,R1,windturbine,2040,0.40000000000
all-year,all-week,morning,R1,windturbine,2040,0.40000000000
all-year,all-week,morning,R1,windturbine,2045,0.40000000000
all-year,all-week,afternoon,R1,windturbine,2020,0.13330000000
all-year,all-week,afternoon,R1,windturbine,2025,0.13330000000
all-year,all-week,afternoon,R1,windturbine,2025,0.13330000000
all-year,all-week,afternoon,R1,windturbine,2030,0.26670000000
all-year,all-week,afternoon,R1,windturbine,2030,0.26670000000
all-year,all-week,afternoon,R1,windturbine,2035,0.26670000000
all-year,all-week,afternoon,R1,windturbine,2035,0.26670000000
all-year,all-week,afternoon,R1,windturbine,2040,0.26670000000
all-year,all-week,afternoon,R1,windturbine,2040,0.26670000000
all-year,all-week,afternoon,R1,windturbine,2045,0.26670000000
all-year,all-week,early-peak,R1,windturbine,2020,0.20000000000
all-year,all-week,early-peak,R1,windturbine,2025,0.20000000000
all-year,all-week,early-peak,R1,windturbine,2025,0.20000000000
all-year,all-week,early-peak,R1,windturbine,2030,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2030,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2035,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2035,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2040,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2040,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2045,0.40000000000
all-year,all-week,late-peak,R1,windturbine,2020,0.40000000000
all-year,all-week,late-peak,R1,windturbine,2025,0.40000000000
all-year,all-week,late-peak,R1,windturbine,2025,0.40000000000
all-year,all-week,late-peak,R1,windturbine,2030,0.80000000000
all-year,all-week,late-peak,R1,windturbine,2030,0.80000000000
all-year,all-week,late-peak,R1,windturbine,2035,0.80000000000
all-year,all-week,late-peak,R1,windturbine,2035,0.80000000000
all-year,all-week,late-peak,R1,windturbine,2040,0.80000000000
all-year,all-week,late-peak,R1,windturbine,2040,0.80000000000
all-year,all-week,late-peak,R1,windturbine,2045,0.80000000000
all-year,all-week,evening,R1,windturbine,2020,0.26670000000
all-year,all-week,evening,R1,windturbine,2025,0.26670000000
all-year,all-week,evening,R1,windturbine,2025,0.26670000000
all-year,all-week,evening,R1,windturbine,2030,0.53330000000
all-year,all-week,evening,R1,windturbine,2030,0.53330000000
all-year,all-week,evening,R1,windturbine,2035,0.53330000000
all-year,all-week,evening,R1,windturbine,2035,0.53330000000
all-year,all-week,evening,R1,windturbine,2040,0.53330000000
all-year,all-week,evening,R1,windturbine,2040,0.53330000000
all-year,all-week,evening,R1,windturbine,2045,0.53330000000
