timeslice,asset,year,commodity,region,installed,technology,month,day,hour,supply
0,1,2050,electricity,R1,2025,windturbine,all-year,all-week,night,0.19080000000
0,2,2050,electricity,R1,2030,windturbine,all-year,all-week,night,0.20840000000
0,2,2055,electricity,R1,2030,windturbine,all-year,all-week,night,0.19450000000
0,3,2050,electricity,R1,2035,windturbine,all-year,all-week,night,0.24940000000
0,3,2055,electricity,R1,2035,windturbine,all-year,all-week,night,0.23270000000
0,4,2050,electricity,R1,2040,windturbine,all-year,all-week,night,0.25730000000
0,4,2055,electricity,R1,2040,windturbine,all-year,all-week,night,0.24010000000
0,5,2050,electricity,R1,2045,windturbine,all-year,all-week,night,0.29400000000
0,5,2055,electricity,R1,2045,windturbine,all-year,all-week,night,0.27440000000
0,6,2055,electricity,R1,2050,windturbine,all-year,all-week,night,0.25830000000
1,1,2050,electricity,R1,2025,windturbine,all-year,all-week,morning,0.28620000000
1,2,2050,electricity,R1,2030,windturbine,all-year,all-week,morning,0.31270000000
1,2,2055,electricity,R1,2030,windturbine,all-year,all-week,morning,0.29170000000
1,3,2050,electricity,R1,2035,windturbine,all-year,all-week,morning,0.37420000000
1,3,2055,electricity,R1,2035,windturbine,all-year,all-week,morning,0.34910000000
1,4,2050,electricity,R1,2040,windturbine,all-year,all-week,morning,0.38600000000
1,4,2055,electricity,R1,2040,windturbine,all-year,all-week,morning,0.36010000000
1,5,2050,electricity,R1,2045,windturbine,all-year,all-week,morning,0.44110000000
1,5,2055,electricity,R1,2045,windturbine,all-year,all-week,morning,0.41150000000
1,6,2055,electricity,R1,2050,windturbine,all-year,all-week,morning,0.38750000000
2,1,2050,electricity,R1,2025,windturbine,all-year,all-week,afternoon,0.19080000000
2,2,2050,electricity,R1,2030,windturbine,all-year,all-week,afternoon,0.20840000000
2,2,2055,electricity,R1,2030,windturbine,all-year,all-week,afternoon,0.19450000000
2,3,2050,electricity,R1,2035,windturbine,all-year,all-week,afternoon,0.24940000000
2,3,2055,electricity,R1,2035,windturbine,all-year,all-week,afternoon,0.23270000000
2,4,2050,electricity,R1,2040,windturbine,all-year,all-week,afternoon,0.25730000000
2,4,2055,electricity,R1,2040,windturbine,all-year,all-week,afternoon,0.24010000000
2,5,2050,electricity,R1,2045,windturbine,all-year,all-week,afternoon,0.29400000000
2,5,2055,electricity,R1,2045,windturbine,all-year,all-week,afternoon,0.27440000000
2,6,2055,electricity,R1,2050,windturbine,all-year,all-week,afternoon,0.25830000000
3,1,2050,electricity,R1,2025,windturbine,all-year,all-week,early-peak,0.28620000000
3,2,2050,electricity,R1,2030,windturbine,all-year,all-week,early-peak,0.31270000000
3,2,2055,electricity,R1,2030,windturbine,all-year,all-week,early-peak,0.29170000000
3,3,2050,electricity,R1,2035,windturbine,all-year,all-week,early-peak,0.37420000000
3,3,2055,electricity,R1,2035,windturbine,all-year,all-week,early-peak,0.34910000000
3,4,2050,electricity,R1,2040,windturbine,all-year,all-week,early-peak,0.38600000000
3,4,2055,electricity,R1,2040,windturbine,all-year,all-week,early-peak,0.36010000000
3,5,2050,electricity,R1,2045,windturbine,all-year,all-week,early-peak,0.44110000000
3,5,2055,electricity,R1,2045,windturbine,all-year,all-week,early-peak,0.41150000000
3,6,2055,electricity,R1,2050,windturbine,all-year,all-week,early-peak,0.38750000000
4,1,2050,electricity,R1,2025,windturbine,all-year,all-week,late-peak,0.57240000000
4,2,2050,electricity,R1,2030,windturbine,all-year,all-week,late-peak,0.62530000000
4,2,2055,electricity,R1,2030,windturbine,all-year,all-week,late-peak,0.58350000000
4,3,2050,electricity,R1,2035,windturbine,all-year,all-week,late-peak,0.74830000000
4,3,2055,electricity,R1,2035,windturbine,all-year,all-week,late-peak,0.69820000000
4,4,2050,electricity,R1,2040,windturbine,all-year,all-week,late-peak,0.77190000000
4,4,2055,electricity,R1,2040,windturbine,all-year,all-week,late-peak,0.72030000000
4,5,2050,electricity,R1,2045,windturbine,all-year,all-week,late-peak,0.88210000000
4,5,2055,electricity,R1,2045,windturbine,all-year,all-week,late-peak,0.82310000000
4,6,2055,electricity,R1,2050,windturbine,all-year,all-week,late-peak,0.77490000000
5,1,2050,electricity,R1,2025,windturbine,all-year,all-week,evening,0.38160000000
5,2,2050,electricity,R1,2030,windturbine,all-year,all-week,evening,0.41690000000
5,2,2055,electricity,R1,2030,windturbine,all-year,all-week,evening,0.38900000000
5,3,2050,electricity,R1,2035,windturbine,all-year,all-week,evening,0.49890000000
5,3,2055,electricity,R1,2035,windturbine,all-year,all-week,evening,0.46550000000
5,4,2050,electricity,R1,2040,windturbine,all-year,all-week,evening,0.51460000000
5,4,2055,electricity,R1,2040,windturbine,all-year,all-week,evening,0.48020000000
5,5,2050,electricity,R1,2045,windturbine,all-year,all-week,evening,0.58810000000
5,5,2055,electricity,R1,2045,windturbine,all-year,all-week,evening,0.54870000000
5,6,2055,electricity,R1,2050,windturbine,all-year,all-week,evening,0.51660000000
