timeslice,asset,year,commodity,region,technology,installed,month,day,hour,supply
0,0,2030,electricity,R1,windturbine,2020,all-year,all-week,night,0.23950000000
0,0,2035,electricity,R1,windturbine,2020,all-year,all-week,night,0.18010000000
0,1,2030,electricity,R1,windturbine,2025,all-year,all-week,night,0.33600000000
0,1,2035,electricity,R1,windturbine,2025,all-year,all-week,night,0.25270000000
0,2,2035,electricity,R1,windturbine,2030,all-year,all-week,night,0.27610000000
1,0,2030,electricity,R1,windturbine,2020,all-year,all-week,morning,0.35930000000
1,0,2035,electricity,R1,windturbine,2020,all-year,all-week,morning,0.27020000000
1,1,2030,electricity,R1,windturbine,2025,all-year,all-week,morning,0.50410000000
1,1,2035,electricity,R1,windturbine,2025,all-year,all-week,morning,0.37910000000
1,2,2035,electricity,R1,windturbine,2030,all-year,all-week,morning,0.41410000000
2,0,2030,electricity,R1,windturbine,2020,all-year,all-week,afternoon,0.23950000000
2,0,2035,electricity,R1,windturbine,2020,all-year,all-week,afternoon,0.18010000000
2,1,2030,electricity,R1,windturbine,2025,all-year,all-week,afternoon,0.33600000000
2,1,2035,electricity,R1,windturbine,2025,all-year,all-week,afternoon,0.25270000000
2,2,2035,electricity,R1,windturbine,2030,all-year,all-week,afternoon,0.27610000000
3,0,2030,electricity,R1,windturbine,2020,all-year,all-week,early-peak,0.35930000000
3,0,2035,electricity,R1,windturbine,2020,all-year,all-week,early-peak,0.27020000000
3,1,2030,electricity,R1,windturbine,2025,all-year,all-week,early-peak,0.50410000000
3,1,2035,electricity,R1,windturbine,2025,all-year,all-week,early-peak,0.37910000000
3,2,2035,electricity,R1,windturbine,2030,all-year,all-week,early-peak,0.41410000000
4,0,2030,electricity,R1,windturbine,2020,all-year,all-week,late-peak,0.71850000000
4,0,2035,electricity,R1,windturbine,2020,all-year,all-week,late-peak,0.54030000000
4,1,2030,electricity,R1,windturbine,2025,all-year,all-week,late-peak,1.00810000000
4,1,2035,electricity,R1,windturbine,2025,all-year,all-week,late-peak,0.75810000000
4,2,2035,electricity,R1,windturbine,2030,all-year,all-week,late-peak,0.82820000000
5,0,2030,electricity,R1,windturbine,2020,all-year,all-week,evening,0.47900000000
5,0,2035,electricity,R1,windturbine,2020,all-year,all-week,evening,0.36020000000
5,1,2030,electricity,R1,windturbine,2025,all-year,all-week,evening,0.67210000000
5,1,2035,electricity,R1,windturbine,2025,all-year,all-week,evening,0.50540000000
5,2,2035,electricity,R1,windturbine,2030,all-year,all-week,evening,0.55220000000
