commodity,day,hour,month,prices,region,timeslice,units_prices,year
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,0.1570,r1,1,MUS$2010/kt,2030
cook,all-week,morning,all-year,10.4330,r1,1,MUS$2010/PJ,2030
electricity,all-week,afternoon,all-year,14.7846,r1,2,MUS$2010/PJ,2030
gas,all-week,afternoon,all-year,2.5500,r1,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,10.6858,r1,2,MUS$2010/PJ,2030
wind,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2030
CO2f,all-week,afternoon,all-year,0.1570,r1,2,MUS$2010/kt,2030
cook,all-week,afternoon,all-year,9.8077,r1,2,MUS$2010/PJ,2030
electricity,all-week,early-peak,all-year,17.3067,r1,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,11.3110,r1,3,MUS$2010/PJ,2030
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,0.1570,r1,3,MUS$2010/kt,2030
cook,all-week,early-peak,all-year,10.4330,r1,3,MUS$2010/PJ,2030
electricity,all-week,late-peak,all-year,24.0350,r1,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,12.9791,r1,4,MUS$2010/PJ,2030
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,0.1570,r1,4,MUS$2010/kt,2030
cook,all-week,late-peak,all-year,12.1010,r1,4,MUS$2010/PJ,2030
electricity,all-week,evening,all-year,20.1816,r1,5,MUS$2010/PJ,2030
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,12.0238,r1,5,MUS$2010/PJ,2030
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,0.1570,r1,5,MUS$2010/kt,2030
cook,all-week,evening,all-year,11.1457,r1,5,MUS$2010/PJ,2030
electricity,all-week,night,all-year,12.1300,r1,0,MUS$2010/PJ,2035
gas,all-week,night,all-year,2.5500,r1,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,7.4494,r1,0,MUS$2010/PJ,2035
wind,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2035
CO2f,all-week,night,all-year,0.2149,r1,0,MUS$2010/kt,2035
cook,all-week,night,all-year,7.4494,r1,0,MUS$2010/PJ,2035
electricity,all-week,morning,all-year,12.4587,r1,1,MUS$2010/PJ,2035
gas,all-week,morning,all-year,2.5500,r1,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,7.5809,r1,1,MUS$2010/PJ,2035
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2035
CO2f,all-week,morning,all-year,0.2149,r1,1,MUS$2010/kt,2035
cook,all-week,morning,all-year,7.5809,r1,1,MUS$2010/PJ,2035
electricity,all-week,afternoon,all-year,12.1300,r1,2,MUS$2010/PJ,2035
gas,all-week,afternoon,all-year,2.5500,r1,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,7.4494,r1,2,MUS$2010/PJ,2035
wind,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2035
CO2f,all-week,afternoon,all-year,0.2149,r1,2,MUS$2010/kt,2035
cook,all-week,afternoon,all-year,7.4494,r1,2,MUS$2010/PJ,2035
electricity,all-week,early-peak,all-year,12.4587,r1,3,MUS$2010/PJ,2035
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,7.5809,r1,3,MUS$2010/PJ,2035
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2035
CO2f,all-week,early-peak,all-year,0.2149,r1,3,MUS$2010/kt,2035
cook,all-week,early-peak,all-year,7.5809,r1,3,MUS$2010/PJ,2035
electricity,all-week,late-peak,all-year,23.1085,r1,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,11.8408,r1,4,MUS$2010/PJ,2035
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,0.2149,r1,4,MUS$2010/kt,2035
cook,all-week,late-peak,all-year,11.8408,r1,4,MUS$2010/PJ,2035
electricity,all-week,evening,all-year,15.2239,r1,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,8.6870,r1,5,MUS$2010/PJ,2035
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,0.2149,r1,5,MUS$2010/kt,2035
cook,all-week,evening,all-year,8.6870,r1,5,MUS$2010/PJ,2035
electricity,all-week,night,all-year,11.2044,r1,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,2.5500,r1,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,7.0792,r1,0,MUS$2010/PJ,2040
wind,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,0.2728,r1,0,MUS$2010/kt,2040
cook,all-week,night,all-year,7.0792,r1,0,MUS$2010/PJ,2040
