commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,evening,all-year,r1,4.8550,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,r1,3.3333,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,r1,250.4812,5,MUS$2010/kt,2030
cook,all-week,evening,all-year,r1,3.3333,5,MUS$2010/PJ,2030
electricity,all-week,night,all-year,r1,1.6000,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,r1,2.0000,0,MUS$2010/PJ,2035
cook,all-week,night,all-year,r1,2.0000,0,MUS$2010/PJ,2035
electricity,all-week,morning,all-year,r1,2.4000,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,r1,3.0000,1,MUS$2010/PJ,2035
cook,all-week,morning,all-year,r1,3.0000,1,MUS$2010/PJ,2035
electricity,all-week,afternoon,all-year,r1,1.6000,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,r1,2.0000,2,MUS$2010/PJ,2035
cook,all-week,afternoon,all-year,r1,2.0000,2,MUS$2010/PJ,2035
electricity,all-week,early-peak,all-year,r1,2.4000,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,r1,3.0000,3,MUS$2010/PJ,2035
cook,all-week,early-peak,all-year,r1,3.0000,3,MUS$2010/PJ,2035
electricity,all-week,late-peak,all-year,r1,4.8000,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,r1,3.2948,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,r1,6.0000,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,r1,180.8573,4,MUS$2010/kt,2035
cook,all-week,late-peak,all-year,r1,6.0000,4,MUS$2010/PJ,2035
electricity,all-week,evening,all-year,r1,3.2000,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,r1,0.6228,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,r1,4.0000,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,r1,34.1853,5,MUS$2010/kt,2035
cook,all-week,evening,all-year,r1,4.0000,5,MUS$2010/PJ,2035
electricity,all-week,night,all-year,r1,1.8667,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,r1,2.3333,0,MUS$2010/PJ,2040
cook,all-week,night,all-year,r1,2.3333,0,MUS$2010/PJ,2040
electricity,all-week,morning,all-year,r1,2.8000,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,r1,3.5000,1,MUS$2010/PJ,2040
cook,all-week,morning,all-year,r1,3.5000,1,MUS$2010/PJ,2040
electricity,all-week,afternoon,all-year,r1,1.8667,2,MUS$2010/PJ,2040
heat,all-week,afternoon,all-year,r1,2.3333,2,MUS$2010/PJ,2040
cook,all-week,afternoon,all-year,r1,2.3333,2,MUS$2010/PJ,2040
electricity,all-week,early-peak,all-year,r1,2.8000,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,r1,3.5000,3,MUS$2010/PJ,2040
cook,all-week,early-peak,all-year,r1,3.5000,3,MUS$2010/PJ,2040
electricity,all-week,late-peak,all-year,r1,5.6000,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,r1,3.2948,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,r1,7.0000,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,r1,180.8573,4,MUS$2010/kt,2040
cook,all-week,late-peak,all-year,r1,7.0000,4,MUS$2010/PJ,2040
electricity,all-week,evening,all-year,r1,3.7333,5,MUS$2010/PJ,2040
gas,all-week,evening,all-year,r1,0.1774,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,r1,4.6667,5,MUS$2010/PJ,2040
CO2f,all-week,evening,all-year,r1,9.7399,5,MUS$2010/kt,2040
cook,all-week,evening,all-year,r1,4.6667,5,MUS$2010/PJ,2040
electricity,all-week,night,all-year,r1,2.1333,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,r1,2.6667,0,MUS$2010/PJ,2045
cook,all-week,night,all-year,r1,2.6667,0,MUS$2010/PJ,2045
electricity,all-week,morning,all-year,r1,3.2000,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,r1,4.0000,1,MUS$2010/PJ,2045
cook,all-week,morning,all-year,r1,4.0000,1,MUS$2010/PJ,2045
electricity,all-week,afternoon,all-year,r1,2.1333,2,MUS$2010/PJ,2045
heat,all-week,afternoon,all-year,r1,2.6667,2,MUS$2010/PJ,2045
cook,all-week,afternoon,all-year,r1,2.6667,2,MUS$2010/PJ,2045
electricity,all-week,early-peak,all-year,r1,3.2000,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,r1,4.0000,3,MUS$2010/PJ,2045
cook,all-week,early-peak,all-year,r1,4.0000,3,MUS$2010/PJ,2045
electricity,all-week,late-peak,all-year,r1,6.4000,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,r1,3.2948,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,r1,8.0000,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,r1,180.8573,4,MUS$2010/kt,2045
cook,all-week,late-peak,all-year,r1,8.0000,4,MUS$2010/PJ,2045
electricity,all-week,evening,all-year,r1,4.2667,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,r1,5.3333,5,MUS$2010/PJ,2045
cook,all-week,evening,all-year,r1,5.3333,5,MUS$2010/PJ,2045
electricity,all-week,night,all-year,r1,2.4000,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,r1,3.0000,0,MUS$2010/PJ,2050
cook,all-week,night,all-year,r1,3.0000,0,MUS$2010/PJ,2050
electricity,all-week,morning,all-year,r1,3.6000,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,r1,4.5000,1,MUS$2010/PJ,2050
cook,all-week,morning,all-year,r1,4.5000,1,MUS$2010/PJ,2050
electricity,all-week,afternoon,all-year,r1,2.4000,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,r1,3.0000,2,MUS$2010/PJ,2050
cook,all-week,afternoon,all-year,r1,3.0000,2,MUS$2010/PJ,2050
electricity,all-week,early-peak,all-year,r1,3.6000,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,r1,4.5000,3,MUS$2010/PJ,2050
cook,all-week,early-peak,all-year,r1,4.5000,3,MUS$2010/PJ,2050
electricity,all-week,late-peak,all-year,r1,7.2000,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,r1,3.2948,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,r1,9.0000,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,r1,180.8573,4,MUS$2010/kt,2050
cook,all-week,late-peak,all-year,r1,9.0000,4,MUS$2010/PJ,2050
electricity,all-week,evening,all-year,r1,4.8000,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,r1,6.0000,5,MUS$2010/PJ,2050
cook,all-week,evening,all-year,r1,6.0000,5,MUS$2010/PJ,2050
