commodity,region,year,asset,installed,technology,supply
CO2f,R1,2045,6,2025,procammonia_1,29540.22720000000
CO2f,R1,2045,8,2030,procammonia_1,63270.20020000000
CO2f,R1,2045,10,2035,procammonia_1,55237.19030000000
CO2f,R1,2045,12,2040,procammonia_1,23915.94640000000
CO2f,R1,2050,8,2030,procammonia_1,63270.20020000000
CO2f,R1,2050,10,2035,procammonia_1,55237.19030000000
CO2f,R1,2050,12,2040,procammonia_1,23915.94640000000
CO2f,R1,2050,14,2045,procammonia_1,23722.45200000000
CO2f,R1,2050,15,2045,procammonia_2,0.00010000000
ammonia,R1,2045,6,2025,procammonia_1,7.25520000000
ammonia,R1,2045,8,2030,procammonia_1,15.66320000000
ammonia,R1,2045,10,2035,procammonia_1,13.78430000000
ammonia,R1,2045,12,2040,procammonia_1,6.01640000000
ammonia,R1,2050,8,2030,procammonia_1,15.66320000000
ammonia,R1,2050,10,2035,procammonia_1,13.78430000000
ammonia,R1,2050,12,2040,procammonia_1,6.01640000000
ammonia,R1,2050,14,2045,procammonia_1,6.01640000000
