,asset,year,technology,region,installed,capacity
0,0,2025,gassupply1,R1,2020,15.00000000000
1,0,2030,gassupply1,R1,2020,7.50000000000
9,1,2030,gassupply1,R1,2025,3.80670000000
10,1,2035,gassupply1,R1,2025,3.80670000000
11,1,2040,gassupply1,R1,2025,3.80670000000
12,1,2045,gassupply1,R1,2025,3.80670000000
13,1,2050,gassupply1,R1,2025,3.80670000000
14,1,2064,gassupply1,R1,2025,3.80670000000
16,2,2025,gassupply1,R2,2020,15.00000000000
17,2,2030,gassupply1,R2,2020,7.50000000000
25,3,2030,gassupply1,R2,2025,3.80670000000
26,3,2035,gassupply1,R2,2025,3.80670000000
27,3,2040,gassupply1,R2,2025,3.80670000000
28,3,2045,gassupply1,R2,2025,3.80670000000
29,3,2050,gassupply1,R2,2025,3.80670000000
30,3,2064,gassupply1,R2,2025,3.80670000000
