,asset,year,region,installed,technology,capacity
15,1,2040,R1,2025,gassupply1,0.272
16,1,2045,R1,2025,gassupply1,0.272
17,1,2050,R1,2025,gassupply1,0.272
18,1,2064,R1,2025,gassupply1,0.272
26,2,2040,R1,2030,gassupply1,7.5
27,2,2045,R1,2030,gassupply1,7.5
28,2,2050,R1,2030,gassupply1,7.5
29,2,2064,R1,2030,gassupply1,7.5
30,2,2065,R1,2030,gassupply1,7.5
31,2,2069,R1,2030,gassupply1,7.5
48,4,2040,R2,2025,gassupply1,0.272
49,4,2045,R2,2025,gassupply1,0.272
50,4,2050,R2,2025,gassupply1,0.272
51,4,2064,R2,2025,gassupply1,0.272
59,5,2040,R2,2030,gassupply1,7.5
60,5,2045,R2,2030,gassupply1,7.5
61,5,2050,R2,2030,gassupply1,7.5
62,5,2064,R2,2030,gassupply1,7.5
63,5,2065,R2,2030,gassupply1,7.5
64,5,2069,R2,2030,gassupply1,7.5
