Variable,RegionName,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110
GDP|PPP,R1,millionUS$2005,9417063.848,10921277.3,12425490.76,13929704.21,15433917.66,16938131.12,18442344.57,19946558.02,21450771.48,22954984.93,24459198.38,25828749.63,27198300.88,28567852.13,29937403.38,31306954.62,32676505.87,34046057.12,35415608.37,36785159.61,38154710.86,38990969.1,39827227.34,40663485.58,41499743.82,42336002.06,43172260.3,44008518.54,44844776.78,45681035.02,46517293.26,46965419.22,47413545.19,47861671.15,48309797.11,48757923.08,49206049.04,49654175,50102300.97,50550426.93,50998552.89,51180022.07,51361491.25,51542960.43,51724429.61,51905898.79,52087367.97,52268837.15,52450306.33,52631775.5,52813244.68,52814181.37,52815118.05,52816054.74,52816991.42,52817928.1,52818864.79,52819801.47,52820738.16,52821674.84,52822611.52,52730110.11,52637608.7,52545107.29,52452605.88,52360104.47,52267603.06,52175101.65,52082600.24,51990098.83,51897597.42,51744551.71,51591506.01,51438460.31,51285414.6,51132368.9,50979323.2,50826277.49,50673231.79,50520186.09,50367140.38,50198458.35,50029776.31,49861094.27,49692412.23,49523730.2,49355048.16,49186366.12,49017684.08,48849002.05,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01,48680320.01
Population,R1,million,1366.870979,1368.871511,1370.872043,1372.872574,1374.873106,1376.873638,1378.87417,1380.874702,1382.875233,1384.875765,1386.876297,1387.079116,1387.281935,1387.484754,1387.687574,1387.890393,1388.093212,1388.296031,1388.49885,1388.701669,1388.904488,1384.854562,1380.804636,1376.75471,1372.704783,1368.654857,1364.604931,1360.555004,1356.505078,1352.455152,1348.405226,1340.80518,1333.205133,1325.605087,1318.005041,1310.404995,1302.804949,1295.204902,1287.604856,1280.00481,1272.404764,1262.501421,1252.598078,1242.694736,1232.791393,1222.88805,1212.984708,1203.081365,1193.178022,1183.274679,1173.371337,1162.714369,1152.057401,1141.400433,1130.743465,1120.086497,1109.429529,1098.772561,1088.115593,1077.458625,1066.801657,1056.254477,1045.707298,1035.160118,1024.612939,1014.065759,1003.51858,992.9714,982.4242204,971.8770408,961.3298613,951.3403902,941.3509191,931.3614481,921.371977,911.3825059,901.3930349,891.4035638,881.4140927,871.4246217,861.4351506,852.8687168,844.302283,835.7358492,827.1694153,818.6029815,810.0365477,801.4701139,792.90368,784.3372462,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124,775.7708124
UrbPopulation,R1,million,690.43524,697.556477,704.677714,711.7989511,718.9201881,726.0414251,733.1626621,740.2838991,747.4051361,754.5263732,761.6476102,770.4247279,779.2018457,787.9789634,796.7560812,805.533199,814.3103167,823.0874345,831.8645522,840.64167,849.4187877,853.6385964,857.8584051,862.0782138,866.2980225,870.5178312,874.7376398,878.9574485,883.1772572,887.3970659,891.6168746,891.609627,891.6023794,891.5951317,891.5878841,891.5806365,891.5733889,891.5661413,891.5588937,891.5516461,891.5443985,888.3054048,885.0664111,881.8274174,878.5884237,875.34943,872.1104363,868.8714426,865.6324489,862.3934552,859.1544615,854.067368,848.9802745,843.893181,838.8060875,833.718994,828.6319005,823.544807,818.4577135,813.37062,808.2835265,802.2911465,796.2987666,790.3063866,784.3140067,778.3216267,772.3292468,766.3368668,760.3444869,754.3521069,748.359727,742.0625355,735.765344,729.4681525,723.170961,716.8737695,710.5765779,704.2793864,697.9821949,691.6850034,685.3878119,679.681811,673.9758101,668.2698092,662.5638083,656.8578074,651.1518065,645.4458056,639.7398047,634.0338038,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029,628.3278029
RurPopulation,R1,million,676.435739,671.3150338,666.1943286,661.0736233,655.9529181,650.8322129,645.7115077,640.5908025,635.4700973,630.349392,625.2286868,616.6543882,608.0800896,599.505791,590.9314924,582.3571937,573.7828951,565.2085965,556.6342979,548.0599993,539.4857007,531.2159657,522.9462308,514.6764958,506.4067608,498.1370259,489.8672909,481.597556,473.327821,465.0580861,456.7883511,449.1955525,441.602754,434.0099554,426.4171568,418.8243583,411.2315597,403.6387612,396.0459626,388.453164,380.8603655,374.1960164,367.5316674,360.8673184,354.2029694,347.5386203,340.8742713,334.2099223,327.5455732,320.8812242,314.2168752,308.6470007,303.0771262,297.5072518,291.9373773,286.3675028,280.7976284,275.2277539,269.6578794,264.0880049,258.5181305,253.9633308,249.4085312,244.8537316,240.298932,235.7441324,231.1893327,226.6345331,222.0797335,217.5249339,212.9701343,209.2778547,205.5855752,201.8932956,198.201016,194.5087365,190.8164569,187.1241774,183.4318978,179.7396183,176.0473387,173.1869058,170.3264729,167.46604,164.605607,161.7451741,158.8847412,156.0243083,153.1638753,150.3034424,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095,147.4430095
