commodity,year,asset,region,technology,installed,supply
heat,2030,1,R1,gasboiler,2025,1.72220000000
heat,2030,3,R1,heatpump,2020,10.55560000000
heat,2030,4,R1,heatpump,2025,4.38890000000
heat,2035,1,R1,gasboiler,2025,1.72220000000
heat,2035,4,R1,heatpump,2025,4.38890000000
heat,2035,5,R1,heatpump,2030,13.88890000000
CO2f,2030,1,R1,gasboiler,2025,111.44500000000
CO2f,2035,1,R1,gasboiler,2025,111.44500000000
