commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,r1,0.8120,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,r1,0.7000,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,r1,45.2970,0,MUS$2010/kt,2020
gas,all-week,morning,all-year,r1,1.1600,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,r1,1.0000,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,r1,64.7100,1,MUS$2010/kt,2020
gas,all-week,mid-afternoon,all-year,r1,0.8120,2,MUS$2010/PJ,2020
heat,all-week,mid-afternoon,all-year,r1,0.7000,2,MUS$2010/PJ,2020
CO2f,all-week,mid-afternoon,all-year,r1,45.2970,2,MUS$2010/kt,2020
gas,all-week,early-peak,all-year,r1,1.1600,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,r1,1.0000,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,r1,64.7100,3,MUS$2010/kt,2020
gas,all-week,late-peak,all-year,r1,1.4500,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,r1,1.2500,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,r1,80.8875,4,MUS$2010/kt,2020
gas,all-week,evening,all-year,r1,1.4500,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,r1,1.2500,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,r1,80.8875,5,MUS$2010/kt,2020
gas,all-week,early-morning,all-year,r1,1.4500,6,MUS$2010/PJ,2020
heat,all-week,early-morning,all-year,r1,1.2500,6,MUS$2010/PJ,2020
CO2f,all-week,early-morning,all-year,r1,80.8875,6,MUS$2010/kt,2020
gas,all-week,late-afternoon,all-year,r1,1.4500,7,MUS$2010/PJ,2020
heat,all-week,late-afternoon,all-year,r1,1.2500,7,MUS$2010/PJ,2020
CO2f,all-week,late-afternoon,all-year,r1,80.8875,7,MUS$2010/kt,2020
gas,all-week,night,all-year,r1,1.0827,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,r1,0.9333,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,r1,60.3960,0,MUS$2010/kt,2025
gas,all-week,morning,all-year,r1,1.5467,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,r1,1.3333,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,r1,86.2800,1,MUS$2010/kt,2025
gas,all-week,mid-afternoon,all-year,r1,1.0827,2,MUS$2010/PJ,2025
heat,all-week,mid-afternoon,all-year,r1,0.9333,2,MUS$2010/PJ,2025
CO2f,all-week,mid-afternoon,all-year,r1,60.3960,2,MUS$2010/kt,2025
gas,all-week,early-peak,all-year,r1,1.5467,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,r1,1.3333,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,r1,86.2800,3,MUS$2010/kt,2025
gas,all-week,late-peak,all-year,r1,3.2480,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,r1,2.8000,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,r1,181.1880,4,MUS$2010/kt,2025
gas,all-week,evening,all-year,r1,2.1653,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,r1,1.8667,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,r1,120.7920,5,MUS$2010/kt,2025
gas,all-week,early-morning,all-year,r1,2.1653,6,MUS$2010/PJ,2025
heat,all-week,early-morning,all-year,r1,1.8667,6,MUS$2010/PJ,2025
CO2f,all-week,early-morning,all-year,r1,120.7920,6,MUS$2010/kt,2025
gas,all-week,late-afternoon,all-year,r1,2.1653,7,MUS$2010/PJ,2025
heat,all-week,late-afternoon,all-year,r1,1.8667,7,MUS$2010/PJ,2025
CO2f,all-week,late-afternoon,all-year,r1,120.7920,7,MUS$2010/kt,2025
electricity,all-week,night,all-year,r1,0.1266,0,MUS$2010/PJ,2030
gas,all-week,night,all-year,r1,0.9863,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,r1,1.1667,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,r1,55.0204,0,MUS$2010/kt,2030
electricity,all-week,morning,all-year,r1,0.1808,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,r1,1.4090,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,r1,1.6667,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,r1,78.6005,1,MUS$2010/kt,2030
electricity,all-week,mid-afternoon,all-year,r1,0.1266,2,MUS$2010/PJ,2030
gas,all-week,mid-afternoon,all-year,r1,0.9863,2,MUS$2010/PJ,2030
heat,all-week,mid-afternoon,all-year,r1,1.1667,2,MUS$2010/PJ,2030
CO2f,all-week,mid-afternoon,all-year,r1,55.0204,2,MUS$2010/kt,2030
electricity,all-week,early-peak,all-year,r1,0.1808,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,r1,1.4090,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,r1,1.6667,3,MUS$2010/PJ,2030
