commodity,day,hour,month,prices,region,timeslice,units_prices,year
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2035
CO2f,all-week,morning,all-year,0.2149,r1,1,MUS$2010/kt,2035
electricity,all-week,mid-afternoon,all-year,13.2784,r1,2,MUS$2010/PJ,2035
gas,all-week,mid-afternoon,all-year,2.5500,r1,2,MUS$2010/PJ,2035
heat,all-week,mid-afternoon,all-year,8.7163,r1,2,MUS$2010/PJ,2035
wind,all-week,mid-afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2035
CO2f,all-week,mid-afternoon,all-year,0.2149,r1,2,MUS$2010/kt,2035
electricity,all-week,early-peak,all-year,16.1465,r1,3,MUS$2010/PJ,2035
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,9.7609,r1,3,MUS$2010/PJ,2035
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2035
CO2f,all-week,early-peak,all-year,0.2149,r1,3,MUS$2010/kt,2035
electricity,all-week,late-peak,all-year,19.6519,r1,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,11.0377,r1,4,MUS$2010/PJ,2035
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,0.2149,r1,4,MUS$2010/kt,2035
electricity,all-week,evening,all-year,18.0586,r1,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,10.4573,r1,5,MUS$2010/PJ,2035
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,0.2149,r1,5,MUS$2010/kt,2035
electricity,all-week,early-morning,all-year,18.0586,r1,6,MUS$2010/PJ,2035
gas,all-week,early-morning,all-year,2.5500,r1,6,MUS$2010/PJ,2035
heat,all-week,early-morning,all-year,10.4573,r1,6,MUS$2010/PJ,2035
wind,all-week,early-morning,all-year,0.0000,r1,6,MUS$2010/PJ,2035
CO2f,all-week,early-morning,all-year,0.2149,r1,6,MUS$2010/kt,2035
electricity,all-week,late-afternoon,all-year,18.0586,r1,7,MUS$2010/PJ,2035
gas,all-week,late-afternoon,all-year,2.5500,r1,7,MUS$2010/PJ,2035
heat,all-week,late-afternoon,all-year,10.4573,r1,7,MUS$2010/PJ,2035
wind,all-week,late-afternoon,all-year,0.0000,r1,7,MUS$2010/PJ,2035
CO2f,all-week,late-afternoon,all-year,0.2149,r1,7,MUS$2010/kt,2035
electricity,all-week,night,all-year,12.7103,r1,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,2.5500,r1,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,7.8106,r1,0,MUS$2010/PJ,2040
wind,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,0.2728,r1,0,MUS$2010/kt,2040
electricity,all-week,morning,all-year,13.8385,r1,1,MUS$2010/PJ,2040
gas,all-week,morning,all-year,2.5500,r1,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,8.9578,r1,1,MUS$2010/PJ,2040
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2040
CO2f,all-week,morning,all-year,0.2728,r1,1,MUS$2010/kt,2040
electricity,all-week,mid-afternoon,all-year,12.7103,r1,2,MUS$2010/PJ,2040
gas,all-week,mid-afternoon,all-year,2.5500,r1,2,MUS$2010/PJ,2040
heat,all-week,mid-afternoon,all-year,7.8106,r1,2,MUS$2010/PJ,2040
wind,all-week,mid-afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2040
CO2f,all-week,mid-afternoon,all-year,0.2728,r1,2,MUS$2010/kt,2040
electricity,all-week,early-peak,all-year,13.8385,r1,3,MUS$2010/PJ,2040
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,8.9578,r1,3,MUS$2010/PJ,2040
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2040
CO2f,all-week,early-peak,all-year,0.2728,r1,3,MUS$2010/kt,2040
electricity,all-week,late-peak,all-year,29.1648,r1,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,10.3600,r1,4,MUS$2010/PJ,2040
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,0.2728,r1,4,MUS$2010/kt,2040
electricity,all-week,evening,all-year,14.5906,r1,5,MUS$2010/PJ,2040
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,9.7227,r1,5,MUS$2010/PJ,2040
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2040
CO2f,all-week,evening,all-year,0.2728,r1,5,MUS$2010/kt,2040
electricity,all-week,early-morning,all-year,14.5906,r1,6,MUS$2010/PJ,2040
gas,all-week,early-morning,all-year,2.5500,r1,6,MUS$2010/PJ,2040
heat,all-week,early-morning,all-year,9.7227,r1,6,MUS$2010/PJ,2040
wind,all-week,early-morning,all-year,0.0000,r1,6,MUS$2010/PJ,2040
CO2f,all-week,early-morning,all-year,0.2728,r1,6,MUS$2010/kt,2040
electricity,all-week,late-afternoon,all-year,14.5906,r1,7,MUS$2010/PJ,2040
gas,all-week,late-afternoon,all-year,2.5500,r1,7,MUS$2010/PJ,2040
heat,all-week,late-afternoon,all-year,9.7227,r1,7,MUS$2010/PJ,2040
