,asset,year,region,technology,installed,capacity
13,1,2045,R1,windturbine,2020,0.54830000000
14,1,2049,R1,windturbine,2020,0.54830000000
26,2,2045,R1,windturbine,2025,1.12500000000
27,2,2049,R1,windturbine,2025,1.12500000000
28,2,2050,R1,windturbine,2025,1.12500000000
29,2,2054,R1,windturbine,2025,1.12500000000
39,3,2045,R1,windturbine,2030,3.67670000000
40,3,2049,R1,windturbine,2030,3.67670000000
41,3,2050,R1,windturbine,2030,3.67670000000
42,3,2054,R1,windturbine,2030,3.67670000000
43,3,2055,R1,windturbine,2030,3.67670000000
44,3,2059,R1,windturbine,2030,3.67670000000
52,4,2045,R1,windturbine,2035,2.25670000000
53,4,2049,R1,windturbine,2035,2.25670000000
54,4,2050,R1,windturbine,2035,2.25670000000
55,4,2054,R1,windturbine,2035,2.25670000000
56,4,2055,R1,windturbine,2035,2.25670000000
57,4,2059,R1,windturbine,2035,2.25670000000
58,4,2060,R1,windturbine,2035,2.25670000000
59,4,2064,R1,windturbine,2035,2.25670000000
65,5,2045,R1,windturbine,2040,0.58330000000
66,5,2049,R1,windturbine,2040,0.58330000000
67,5,2050,R1,windturbine,2040,0.58330000000
68,5,2054,R1,windturbine,2040,0.58330000000
69,5,2055,R1,windturbine,2040,0.58330000000
70,5,2059,R1,windturbine,2040,0.58330000000
71,5,2060,R1,windturbine,2040,0.58330000000
72,5,2064,R1,windturbine,2040,0.58330000000
73,5,2065,R1,windturbine,2040,0.58330000000
74,5,2069,R1,windturbine,2040,0.58330000000
80,6,2050,R1,windturbine,2045,2.85830000000
81,6,2054,R1,windturbine,2045,2.85830000000
82,6,2055,R1,windturbine,2045,2.85830000000
83,6,2059,R1,windturbine,2045,2.85830000000
84,6,2060,R1,windturbine,2045,2.85830000000
85,6,2064,R1,windturbine,2045,2.85830000000
86,6,2065,R1,windturbine,2045,2.85830000000
87,6,2069,R1,windturbine,2045,2.85830000000
88,6,2070,R1,windturbine,2045,2.85830000000
89,6,2074,R1,windturbine,2045,2.85830000000
