variable,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110
GDP|PPP,R1,1206919,1220599,1234278,1247958,1261637,1275317,1288997,1302676,1316356,1330035,1343715,1384465,1425215,1465965,1506715,1547465,1588215,1628965,1669715,1710465,1751215,1796887,1842558,1888230,1933901,1979573,2025244,2070916,2116587,2162259,2207930,2257386,2306842,2356297,2405753,2455209,2504665,2554120,2603576,2653032,2702488,2758342,2814196,2870050,2925904,2981758,3037612,3093466,3149320,3205175,3261029,3330014,3398999,3467984,3536969,3605954,3674939,3743925,3812910,3881895,3950880,4017445,4084009,4150574,4217139,4283704,4350268,4416833,4483398,4549962,4616527,4681288,4746048,4810808,4875569,4940329,5005090,5069850,5134610,5199371,5264131,5326189,5388246,5450304,5512362,5574419,5636477,5698534,5760592,5822650,5884707,5884707,5884707,5884707,5884707,5884707,5884707,5884707,5884707,5884707,5884707
Population,R1,80004200,80915100,81825990,82736890,83647790,84558680,85469580,86380480,87291370,88202270,89113170,89830650,90548130,91265610,91983090,92700570,93418050,94135530,94853010,95570490,96287970,96822050,97356120,97890190,98424270,98958340,99492420,100026500,100560600,101094600,101628700,101971000,102313300,102655600,102997900,103340200,103682500,104024700,104367000,104709300,105051600,105187600,105323600,105459600,105595600,105731600,105867600,106003600,106139600,106275600,106411600,106385400,106359100,106332800,106306500,106280200,106253900,106227600,106201400,106175100,106148800,105981900,105815000,105648200,105481300,105314400,105147600,104980700,104813800,104646900,104480100,104216900,103953800,103690600,103427500,103164300,102901200,102638000,102374900,102111700,101848600,101535800,101223000,100910200,100597400,100284600,99971790,99658990,99346190,99033390,98720590,98720590,98720590,98720590,98720590,98720590,98720590,98720590,98720590,98720590,98720590
