,asset,year,technology,region,installed,capacity
0,0,2025,estove,R1,2020,16.14400000000
1,0,2030,estove,R1,2020,16.14400000000
2,0,2034,estove,R1,2020,16.14400000000
9,1,2030,estove,R1,2025,7.22880000000
10,1,2034,estove,R1,2025,7.22880000000
11,1,2035,estove,R1,2025,7.22880000000
12,1,2039,estove,R1,2025,7.22880000000
16,2,2025,estove,R2,2020,16.14400000000
17,2,2030,estove,R2,2020,16.14400000000
18,2,2034,estove,R2,2020,16.14400000000
25,3,2030,estove,R2,2025,7.22880000000
26,3,2034,estove,R2,2025,7.22880000000
27,3,2035,estove,R2,2025,7.22880000000
28,3,2039,estove,R2,2025,7.22880000000
32,4,2025,gasboiler,R1,2020,5.00000000000
41,5,2030,gasboiler,R1,2025,2.14290000000
42,5,2034,gasboiler,R1,2025,2.14290000000
43,5,2035,gasboiler,R1,2025,2.14290000000
44,5,2039,gasboiler,R1,2025,2.14290000000
48,6,2025,gasboiler,R2,2020,5.00000000000
57,7,2030,gasboiler,R2,2025,2.14290000000
58,7,2034,gasboiler,R2,2025,2.14290000000
59,7,2035,gasboiler,R2,2025,2.14290000000
60,7,2039,gasboiler,R2,2025,2.14290000000
64,8,2025,gasstove,R1,2020,5.00000000000
73,9,2030,gasstove,R1,2025,1.77120000000
74,9,2034,gasstove,R1,2025,1.77120000000
75,9,2035,gasstove,R1,2025,1.77120000000
76,9,2039,gasstove,R1,2025,1.77120000000
80,10,2025,gasstove,R2,2020,5.00000000000
89,11,2030,gasstove,R2,2025,1.77120000000
90,11,2034,gasstove,R2,2025,1.77120000000
91,11,2035,gasstove,R2,2025,1.77120000000
92,11,2039,gasstove,R2,2025,1.77120000000
96,12,2025,heatpump,R1,2020,17.85870000000
97,12,2030,heatpump,R1,2020,17.85870000000
98,12,2034,heatpump,R1,2020,17.85870000000
105,13,2030,heatpump,R1,2025,8.57170000000
106,13,2034,heatpump,R1,2025,8.57170000000
107,13,2035,heatpump,R1,2025,8.57170000000
108,13,2039,heatpump,R1,2025,8.57170000000
112,14,2025,heatpump,R2,2020,17.85870000000
113,14,2030,heatpump,R2,2020,17.85870000000
114,14,2034,heatpump,R2,2020,17.85870000000
121,15,2030,heatpump,R2,2025,8.57170000000
122,15,2034,heatpump,R2,2025,8.57170000000
123,15,2035,heatpump,R2,2025,8.57170000000
124,15,2039,heatpump,R2,2025,8.57170000000
