,asset,year,technology,region,installed,capacity
0,0,2035,estove,R1,2025,7.22880000000
1,0,2039,estove,R1,2025,7.22880000000
7,1,2035,estove,R1,2030,20.14400000000
8,1,2039,estove,R1,2030,20.14400000000
9,1,2040,estove,R1,2030,20.14400000000
10,1,2044,estove,R1,2030,20.14400000000
16,2,2040,estove,R1,2035,13.00000000000
17,2,2044,estove,R1,2035,13.00000000000
18,2,2045,estove,R1,2035,13.00000000000
19,2,2049,estove,R1,2035,13.00000000000
21,3,2035,estove,R2,2025,7.22880000000
22,3,2039,estove,R2,2025,7.22880000000
28,4,2035,estove,R2,2030,20.14400000000
29,4,2039,estove,R2,2030,20.14400000000
30,4,2040,estove,R2,2030,20.14400000000
31,4,2044,estove,R2,2030,20.14400000000
37,5,2040,estove,R2,2035,13.00000000000
38,5,2044,estove,R2,2035,13.00000000000
39,5,2045,estove,R2,2035,13.00000000000
40,5,2049,estove,R2,2035,13.00000000000
42,6,2035,gasboiler,R1,2025,2.14290000000
43,6,2039,gasboiler,R1,2025,2.14290000000
49,7,2035,gasboiler,R2,2025,2.14290000000
50,7,2039,gasboiler,R2,2025,2.14290000000
56,8,2035,gasstove,R1,2025,1.77120000000
57,8,2039,gasstove,R1,2025,1.77120000000
63,9,2035,gasstove,R2,2025,1.77120000000
64,9,2039,gasstove,R2,2025,1.77120000000
70,10,2035,heatpump,R1,2025,8.57170000000
71,10,2039,heatpump,R1,2025,8.57170000000
77,11,2035,heatpump,R1,2030,23.57330000000
78,11,2039,heatpump,R1,2030,23.57330000000
79,11,2040,heatpump,R1,2030,23.57330000000
80,11,2044,heatpump,R1,2030,23.57330000000
86,12,2040,heatpump,R1,2035,16.42930000000
87,12,2044,heatpump,R1,2035,16.42930000000
88,12,2045,heatpump,R1,2035,16.42930000000
89,12,2049,heatpump,R1,2035,16.42930000000
91,13,2035,heatpump,R2,2025,8.57170000000
92,13,2039,heatpump,R2,2025,8.57170000000
98,14,2035,heatpump,R2,2030,23.57330000000
99,14,2039,heatpump,R2,2030,23.57330000000
100,14,2040,heatpump,R2,2030,23.57330000000
101,14,2044,heatpump,R2,2030,23.57330000000
107,15,2040,heatpump,R2,2035,16.42930000000
108,15,2044,heatpump,R2,2035,16.42930000000
109,15,2045,heatpump,R2,2035,16.42930000000
110,15,2049,heatpump,R2,2035,16.42930000000
