,asset,year,technology,region,installed,capacity
1,0,2025,estove,R1,2020,16.14400000000
2,0,2030,estove,R1,2020,16.14400000000
3,0,2034,estove,R1,2020,16.14400000000
9,1,2025,estove,R2,2020,16.14400000000
10,1,2030,estove,R2,2020,16.14400000000
11,1,2034,estove,R2,2020,16.14400000000
16,2,2020,gasboiler,R1,2020,10.00000000000
17,2,2025,gasboiler,R1,2020,5.00000000000
24,3,2020,gasboiler,R2,2020,10.00000000000
25,3,2025,gasboiler,R2,2020,5.00000000000
32,4,2020,gasstove,R1,2020,10.00000000000
33,4,2025,gasstove,R1,2020,5.00000000000
40,5,2020,gasstove,R2,2020,10.00000000000
41,5,2025,gasstove,R2,2020,5.00000000000
49,6,2025,heatpump,R1,2020,17.85870000000
50,6,2030,heatpump,R1,2020,17.85870000000
51,6,2034,heatpump,R1,2020,17.85870000000
57,7,2025,heatpump,R2,2020,17.85870000000
58,7,2030,heatpump,R2,2020,17.85870000000
59,7,2034,heatpump,R2,2020,17.85870000000
