,commodity,region,technology,year,supply
0,electricity,R1,gasCCGT,2025,0.03510000000
1,CO2f,R1,gasCCGT,2025,3.22130000000
2,electricity,R1,gasCCGT,2025,0.05270000000
3,CO2f,R1,gasCCGT,2025,4.83190000000
4,electricity,R1,gasCCGT,2025,0.03510000000
5,CO2f,R1,gasCCGT,2025,3.22130000000
6,electricity,R1,gasCCGT,2025,0.05270000000
7,CO2f,R1,gasCCGT,2025,4.83190000000
8,electricity,R1,gasCCGT,2025,0.10540000000
9,CO2f,R1,gasCCGT,2025,9.66390000000
10,electricity,R1,gasCCGT,2025,0.07030000000
11,CO2f,R1,gasCCGT,2025,6.44260000000
