,asset,year,technology,region,installed,capacity
32,4,2030,heatpump,R1,2020,28.00000000000
33,4,2034,heatpump,R1,2020,28.00000000000
40,5,2030,heatpump,R1,2025,4.00000000000
41,5,2034,heatpump,R1,2025,4.00000000000
42,5,2035,heatpump,R1,2025,4.00000000000
43,5,2039,heatpump,R1,2025,4.00000000000
50,6,2035,heatpump,R1,2030,64.00000000000
51,6,2039,heatpump,R1,2030,64.00000000000
52,6,2040,heatpump,R1,2030,64.00000000000
53,6,2044,heatpump,R1,2030,64.00000000000
56,7,2030,heatpump,R2,2020,28.00000000000
57,7,2034,heatpump,R2,2020,28.00000000000
64,8,2030,heatpump,R2,2025,4.00000000000
65,8,2034,heatpump,R2,2025,4.00000000000
66,8,2035,heatpump,R2,2025,4.00000000000
67,8,2039,heatpump,R2,2025,4.00000000000
74,9,2035,heatpump,R2,2030,64.00000000000
75,9,2039,heatpump,R2,2030,64.00000000000
76,9,2040,heatpump,R2,2030,64.00000000000
77,9,2044,heatpump,R2,2030,64.00000000000
