commodity,day,hour,month,region,supply,timeslice,units_prices,year
heat,all-week,early-peak,all-year,r1,3.0000,3,MUS$2010/PJ,2035
CO2f,all-week,early-peak,all-year,r1,99.6671,3,MUS$2010/kt,2035
electricity,all-week,late-peak,all-year,r1,1.2000,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,r1,3.5748,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,r1,6.0000,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,r1,199.3342,4,MUS$2010/kt,2035
electricity,all-week,evening,all-year,r1,0.8000,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,r1,2.3832,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,r1,4.0000,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,r1,132.8895,5,MUS$2010/kt,2035
electricity,all-week,night,all-year,r1,0.4667,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,r1,1.3849,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,r1,2.3333,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,r1,77.2297,0,MUS$2010/kt,2040
electricity,all-week,morning,all-year,r1,0.7000,1,MUS$2010/PJ,2040
gas,all-week,morning,all-year,r1,2.0774,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,r1,3.5000,1,MUS$2010/PJ,2040
CO2f,all-week,morning,all-year,r1,115.8446,1,MUS$2010/kt,2040
electricity,all-week,afternoon,all-year,r1,0.4667,2,MUS$2010/PJ,2040
gas,all-week,afternoon,all-year,r1,1.3849,2,MUS$2010/PJ,2040
heat,all-week,afternoon,all-year,r1,2.3333,2,MUS$2010/PJ,2040
CO2f,all-week,afternoon,all-year,r1,77.2297,2,MUS$2010/kt,2040
electricity,all-week,early-peak,all-year,r1,0.7000,3,MUS$2010/PJ,2040
gas,all-week,early-peak,all-year,r1,2.0774,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,r1,3.5000,3,MUS$2010/PJ,2040
CO2f,all-week,early-peak,all-year,r1,115.8446,3,MUS$2010/kt,2040
electricity,all-week,late-peak,all-year,r1,1.4000,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,r1,4.1548,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,r1,7.0000,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,r1,231.6892,4,MUS$2010/kt,2040
electricity,all-week,evening,all-year,r1,0.9333,5,MUS$2010/PJ,2040
gas,all-week,evening,all-year,r1,2.7699,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,r1,4.6667,5,MUS$2010/PJ,2040
CO2f,all-week,evening,all-year,r1,154.4595,5,MUS$2010/kt,2040
electricity,all-week,night,all-year,r1,0.6177,0,MUS$2010/PJ,2045
gas,all-week,night,all-year,r1,1.3336,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,r1,2.6667,0,MUS$2010/PJ,2045
CO2f,all-week,night,all-year,r1,74.3650,0,MUS$2010/kt,2045
electricity,all-week,morning,all-year,r1,0.9266,1,MUS$2010/PJ,2045
gas,all-week,morning,all-year,r1,2.0004,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,r1,4.0000,1,MUS$2010/PJ,2045
CO2f,all-week,morning,all-year,r1,111.5474,1,MUS$2010/kt,2045
electricity,all-week,afternoon,all-year,r1,0.6177,2,MUS$2010/PJ,2045
gas,all-week,afternoon,all-year,r1,1.3336,2,MUS$2010/PJ,2045
heat,all-week,afternoon,all-year,r1,2.6667,2,MUS$2010/PJ,2045
CO2f,all-week,afternoon,all-year,r1,74.3650,2,MUS$2010/kt,2045
electricity,all-week,early-peak,all-year,r1,0.9266,3,MUS$2010/PJ,2045
gas,all-week,early-peak,all-year,r1,2.0004,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,r1,4.0000,3,MUS$2010/PJ,2045
CO2f,all-week,early-peak,all-year,r1,111.5474,3,MUS$2010/kt,2045
electricity,all-week,late-peak,all-year,r1,1.8531,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,r1,4.0007,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,r1,8.0000,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,r1,223.0949,4,MUS$2010/kt,2045
electricity,all-week,evening,all-year,r1,1.2354,5,MUS$2010/PJ,2045
gas,all-week,evening,all-year,r1,2.6672,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,r1,5.3333,5,MUS$2010/PJ,2045
CO2f,all-week,evening,all-year,r1,148.7299,5,MUS$2010/kt,2045
electricity,all-week,night,all-year,r1,0.9399,0,MUS$2010/PJ,2050
gas,all-week,night,all-year,r1,0.7858,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,r1,3.0000,0,MUS$2010/PJ,2050
CO2f,all-week,night,all-year,r1,43.8075,0,MUS$2010/kt,2050
electricity,all-week,morning,all-year,r1,1.4099,1,MUS$2010/PJ,2050
gas,all-week,morning,all-year,r1,1.1787,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,r1,4.5000,1,MUS$2010/PJ,2050
CO2f,all-week,morning,all-year,r1,65.7112,1,MUS$2010/kt,2050
electricity,all-week,afternoon,all-year,r1,0.9399,2,MUS$2010/PJ,2050
gas,all-week,afternoon,all-year,r1,0.7858,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,r1,3.0000,2,MUS$2010/PJ,2050
CO2f,all-week,afternoon,all-year,r1,43.8075,2,MUS$2010/kt,2050
electricity,all-week,early-peak,all-year,r1,1.4099,3,MUS$2010/PJ,2050
gas,all-week,early-peak,all-year,r1,1.1787,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,r1,4.5000,3,MUS$2010/PJ,2050
CO2f,all-week,early-peak,all-year,r1,65.7112,3,MUS$2010/kt,2050
electricity,all-week,late-peak,all-year,r1,2.8198,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,r1,2.3574,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,r1,9.0000,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,r1,131.4224,4,MUS$2010/kt,2050
electricity,all-week,evening,all-year,r1,1.8799,5,MUS$2010/PJ,2050
gas,all-week,evening,all-year,r1,1.5716,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,r1,6.0000,5,MUS$2010/PJ,2050
CO2f,all-week,evening,all-year,r1,87.6149,5,MUS$2010/kt,2050
