timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,heat,0,2030,gasboiler,2020,all-year,all-week,night,1.66670000000
0,heat,1,2035,gasboiler,2030,all-year,all-week,night,2.00000000000
0,heat,2,2030,gasboiler,2020,all-year,all-week,night,1.66670000000
0,heat,3,2035,gasboiler,2030,all-year,all-week,night,2.00000000000
0,heat,4,2030,heatpump,2020,all-year,all-week,night,1.66670000000
0,heat,5,2035,heatpump,2030,all-year,all-week,night,2.00000000000
0,heat,6,2030,heatpump,2020,all-year,all-week,night,1.66670000000
0,heat,7,2035,heatpump,2030,all-year,all-week,night,2.00000000000
0,CO2f,0,2030,gasboiler,2020,all-year,all-week,night,107.85000000000
0,CO2f,1,2035,gasboiler,2030,all-year,all-week,night,129.42000000000
0,CO2f,2,2030,gasboiler,2020,all-year,all-week,night,107.85000000000
0,CO2f,3,2035,gasboiler,2030,all-year,all-week,night,129.42000000000
1,heat,0,2030,gasboiler,2020,all-year,all-week,morning,2.50000000000
1,heat,1,2035,gasboiler,2030,all-year,all-week,morning,3.00000000000
1,heat,2,2030,gasboiler,2020,all-year,all-week,morning,2.50000000000
1,heat,3,2035,gasboiler,2030,all-year,all-week,morning,3.00000000000
1,heat,4,2030,heatpump,2020,all-year,all-week,morning,2.50000000000
1,heat,5,2035,heatpump,2030,all-year,all-week,morning,3.00000000000
1,heat,6,2030,heatpump,2020,all-year,all-week,morning,2.50000000000
1,heat,7,2035,heatpump,2030,all-year,all-week,morning,3.00000000000
1,CO2f,0,2030,gasboiler,2020,all-year,all-week,morning,161.77500000000
1,CO2f,1,2035,gasboiler,2030,all-year,all-week,morning,194.13000000000
1,CO2f,2,2030,gasboiler,2020,all-year,all-week,morning,161.77500000000
1,CO2f,3,2035,gasboiler,2030,all-year,all-week,morning,194.13000000000
2,heat,0,2030,gasboiler,2020,all-year,all-week,afternoon,1.66670000000
2,heat,1,2035,gasboiler,2030,all-year,all-week,afternoon,2.00000000000
2,heat,2,2030,gasboiler,2020,all-year,all-week,afternoon,1.66670000000
2,heat,3,2035,gasboiler,2030,all-year,all-week,afternoon,2.00000000000
2,heat,4,2030,heatpump,2020,all-year,all-week,afternoon,1.66670000000
2,heat,5,2035,heatpump,2030,all-year,all-week,afternoon,2.00000000000
2,heat,6,2030,heatpump,2020,all-year,all-week,afternoon,1.66670000000
2,heat,7,2035,heatpump,2030,all-year,all-week,afternoon,2.00000000000
2,CO2f,0,2030,gasboiler,2020,all-year,all-week,afternoon,107.85000000000
2,CO2f,1,2035,gasboiler,2030,all-year,all-week,afternoon,129.42000000000
2,CO2f,2,2030,gasboiler,2020,all-year,all-week,afternoon,107.85000000000
2,CO2f,3,2035,gasboiler,2030,all-year,all-week,afternoon,129.42000000000
3,heat,0,2030,gasboiler,2020,all-year,all-week,early-peak,2.50000000000
3,heat,1,2035,gasboiler,2030,all-year,all-week,early-peak,3.00000000000
3,heat,2,2030,gasboiler,2020,all-year,all-week,early-peak,2.50000000000
3,heat,3,2035,gasboiler,2030,all-year,all-week,early-peak,3.00000000000
3,heat,4,2030,heatpump,2020,all-year,all-week,early-peak,2.50000000000
3,heat,5,2035,heatpump,2030,all-year,all-week,early-peak,3.00000000000
3,heat,6,2030,heatpump,2020,all-year,all-week,early-peak,2.50000000000
3,heat,7,2035,heatpump,2030,all-year,all-week,early-peak,3.00000000000
3,CO2f,0,2030,gasboiler,2020,all-year,all-week,early-peak,161.77500000000
3,CO2f,1,2035,gasboiler,2030,all-year,all-week,early-peak,194.13000000000
3,CO2f,2,2030,gasboiler,2020,all-year,all-week,early-peak,161.77500000000
3,CO2f,3,2035,gasboiler,2030,all-year,all-week,early-peak,194.13000000000
4,heat,0,2030,gasboiler,2020,all-year,all-week,late-peak,5.00000000000
4,heat,1,2035,gasboiler,2030,all-year,all-week,late-peak,6.00000000000
4,heat,2,2030,gasboiler,2020,all-year,all-week,late-peak,5.00000000000
4,heat,3,2035,gasboiler,2030,all-year,all-week,late-peak,6.00000000000
4,heat,4,2030,heatpump,2020,all-year,all-week,late-peak,5.00000000000
4,heat,5,2035,heatpump,2030,all-year,all-week,late-peak,6.00000000000
4,heat,6,2030,heatpump,2020,all-year,all-week,late-peak,5.00000000000
4,heat,7,2035,heatpump,2030,all-year,all-week,late-peak,6.00000000000
4,CO2f,0,2030,gasboiler,2020,all-year,all-week,late-peak,323.55000000000
4,CO2f,1,2035,gasboiler,2030,all-year,all-week,late-peak,388.26000000000
4,CO2f,2,2030,gasboiler,2020,all-year,all-week,late-peak,323.55000000000
4,CO2f,3,2035,gasboiler,2030,all-year,all-week,late-peak,388.26000000000
5,heat,0,2030,gasboiler,2020,all-year,all-week,evening,3.33330000000
5,heat,1,2035,gasboiler,2030,all-year,all-week,evening,4.00000000000
5,heat,2,2030,gasboiler,2020,all-year,all-week,evening,3.33330000000
5,heat,3,2035,gasboiler,2030,all-year,all-week,evening,4.00000000000
5,heat,4,2030,heatpump,2020,all-year,all-week,evening,3.33330000000
5,heat,5,2035,heatpump,2030,all-year,all-week,evening,4.00000000000
5,heat,6,2030,heatpump,2020,all-year,all-week,evening,3.33330000000
5,heat,7,2035,heatpump,2030,all-year,all-week,evening,4.00000000000
5,CO2f,0,2030,gasboiler,2020,all-year,all-week,evening,215.70000000000
5,CO2f,1,2035,gasboiler,2030,all-year,all-week,evening,258.84000000000
5,CO2f,2,2030,gasboiler,2020,all-year,all-week,evening,215.70000000000
5,CO2f,3,2035,gasboiler,2030,all-year,all-week,evening,258.84000000000
