timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,heat,2,2045,2040,gasboiler,all-year,all-week,night,2.66670000000
0,heat,2,2050,2040,gasboiler,all-year,all-week,night,3.00000000000
0,heat,3,2045,2040,heatpump,all-year,all-week,night,2.66670000000
0,heat,3,2050,2040,heatpump,all-year,all-week,night,3.00000000000
0,heat,6,2045,2040,gasboiler,all-year,all-week,night,2.66670000000
0,heat,6,2050,2040,gasboiler,all-year,all-week,night,3.00000000000
0,heat,7,2045,2040,heatpump,all-year,all-week,night,2.66670000000
0,heat,7,2050,2040,heatpump,all-year,all-week,night,3.00000000000
0,CO2f,2,2045,2040,gasboiler,all-year,all-week,night,172.56000000000
0,CO2f,2,2050,2040,gasboiler,all-year,all-week,night,194.13000000000
0,CO2f,6,2045,2040,gasboiler,all-year,all-week,night,172.56000000000
0,CO2f,6,2050,2040,gasboiler,all-year,all-week,night,194.13000000000
1,heat,2,2045,2040,gasboiler,all-year,all-week,morning,4.00000000000
1,heat,2,2050,2040,gasboiler,all-year,all-week,morning,4.50000000000
1,heat,3,2045,2040,heatpump,all-year,all-week,morning,4.00000000000
1,heat,3,2050,2040,heatpump,all-year,all-week,morning,4.50000000000
1,heat,6,2045,2040,gasboiler,all-year,all-week,morning,4.00000000000
1,heat,6,2050,2040,gasboiler,all-year,all-week,morning,4.50000000000
1,heat,7,2045,2040,heatpump,all-year,all-week,morning,4.00000000000
1,heat,7,2050,2040,heatpump,all-year,all-week,morning,4.50000000000
1,CO2f,2,2045,2040,gasboiler,all-year,all-week,morning,258.84000000000
1,CO2f,2,2050,2040,gasboiler,all-year,all-week,morning,291.19500000000
1,CO2f,6,2045,2040,gasboiler,all-year,all-week,morning,258.84000000000
1,CO2f,6,2050,2040,gasboiler,all-year,all-week,morning,291.19500000000
2,heat,2,2045,2040,gasboiler,all-year,all-week,afternoon,2.66670000000
2,heat,2,2050,2040,gasboiler,all-year,all-week,afternoon,3.00000000000
2,heat,3,2045,2040,heatpump,all-year,all-week,afternoon,2.66670000000
2,heat,3,2050,2040,heatpump,all-year,all-week,afternoon,3.00000000000
2,heat,6,2045,2040,gasboiler,all-year,all-week,afternoon,2.66670000000
2,heat,6,2050,2040,gasboiler,all-year,all-week,afternoon,3.00000000000
2,heat,7,2045,2040,heatpump,all-year,all-week,afternoon,2.66670000000
2,heat,7,2050,2040,heatpump,all-year,all-week,afternoon,3.00000000000
2,CO2f,2,2045,2040,gasboiler,all-year,all-week,afternoon,172.56000000000
2,CO2f,2,2050,2040,gasboiler,all-year,all-week,afternoon,194.13000000000
2,CO2f,6,2045,2040,gasboiler,all-year,all-week,afternoon,172.56000000000
2,CO2f,6,2050,2040,gasboiler,all-year,all-week,afternoon,194.13000000000
3,heat,2,2045,2040,gasboiler,all-year,all-week,early-peak,4.00000000000
3,heat,2,2050,2040,gasboiler,all-year,all-week,early-peak,4.50000000000
3,heat,3,2045,2040,heatpump,all-year,all-week,early-peak,4.00000000000
3,heat,3,2050,2040,heatpump,all-year,all-week,early-peak,4.50000000000
3,heat,6,2045,2040,gasboiler,all-year,all-week,early-peak,4.00000000000
3,heat,6,2050,2040,gasboiler,all-year,all-week,early-peak,4.50000000000
3,heat,7,2045,2040,heatpump,all-year,all-week,early-peak,4.00000000000
3,heat,7,2050,2040,heatpump,all-year,all-week,early-peak,4.50000000000
3,CO2f,2,2045,2040,gasboiler,all-year,all-week,early-peak,258.84000000000
3,CO2f,2,2050,2040,gasboiler,all-year,all-week,early-peak,291.19500000000
3,CO2f,6,2045,2040,gasboiler,all-year,all-week,early-peak,258.84000000000
3,CO2f,6,2050,2040,gasboiler,all-year,all-week,early-peak,291.19500000000
4,heat,2,2045,2040,gasboiler,all-year,all-week,late-peak,8.00000000000
4,heat,2,2050,2040,gasboiler,all-year,all-week,late-peak,9.00000000000
4,heat,3,2045,2040,heatpump,all-year,all-week,late-peak,8.00000000000
4,heat,3,2050,2040,heatpump,all-year,all-week,late-peak,9.00000000000
4,heat,6,2045,2040,gasboiler,all-year,all-week,late-peak,8.00000000000
4,heat,6,2050,2040,gasboiler,all-year,all-week,late-peak,9.00000000000
4,heat,7,2045,2040,heatpump,all-year,all-week,late-peak,8.00000000000
4,heat,7,2050,2040,heatpump,all-year,all-week,late-peak,9.00000000000
4,CO2f,2,2045,2040,gasboiler,all-year,all-week,late-peak,517.68000000000
4,CO2f,2,2050,2040,gasboiler,all-year,all-week,late-peak,582.39000000000
4,CO2f,6,2045,2040,gasboiler,all-year,all-week,late-peak,517.68000000000
4,CO2f,6,2050,2040,gasboiler,all-year,all-week,late-peak,582.39000000000
5,heat,2,2045,2040,gasboiler,all-year,all-week,evening,5.33330000000
5,heat,2,2050,2040,gasboiler,all-year,all-week,evening,6.00000000000
5,heat,3,2045,2040,heatpump,all-year,all-week,evening,5.33330000000
5,heat,3,2050,2040,heatpump,all-year,all-week,evening,6.00000000000
5,heat,6,2045,2040,gasboiler,all-year,all-week,evening,5.33330000000
5,heat,6,2050,2040,gasboiler,all-year,all-week,evening,6.00000000000
5,heat,7,2045,2040,heatpump,all-year,all-week,evening,5.33330000000
5,heat,7,2050,2040,heatpump,all-year,all-week,evening,6.00000000000
5,CO2f,2,2045,2040,gasboiler,all-year,all-week,evening,345.12000000000
5,CO2f,2,2050,2040,gasboiler,all-year,all-week,evening,388.26000000000
5,CO2f,6,2045,2040,gasboiler,all-year,all-week,evening,345.12000000000
5,CO2f,6,2050,2040,gasboiler,all-year,all-week,evening,388.26000000000
