timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,heat,0,2040,gasboiler,2030,all-year,all-week,night,2.33330000000
0,heat,1,2045,gasboiler,2040,all-year,all-week,night,2.66670000000
0,heat,2,2040,gasboiler,2030,all-year,all-week,night,2.33330000000
0,heat,3,2045,gasboiler,2040,all-year,all-week,night,2.66670000000
0,heat,4,2040,heatpump,2030,all-year,all-week,night,2.33330000000
0,heat,5,2045,heatpump,2040,all-year,all-week,night,2.66670000000
0,heat,6,2040,heatpump,2030,all-year,all-week,night,2.33330000000
0,heat,7,2045,heatpump,2040,all-year,all-week,night,2.66670000000
0,CO2f,0,2040,gasboiler,2030,all-year,all-week,night,150.99000000000
0,CO2f,1,2045,gasboiler,2040,all-year,all-week,night,172.56000000000
0,CO2f,2,2040,gasboiler,2030,all-year,all-week,night,150.99000000000
0,CO2f,3,2045,gasboiler,2040,all-year,all-week,night,172.56000000000
1,heat,0,2040,gasboiler,2030,all-year,all-week,morning,3.50000000000
1,heat,1,2045,gasboiler,2040,all-year,all-week,morning,4.00000000000
1,heat,2,2040,gasboiler,2030,all-year,all-week,morning,3.50000000000
1,heat,3,2045,gasboiler,2040,all-year,all-week,morning,4.00000000000
1,heat,4,2040,heatpump,2030,all-year,all-week,morning,3.50000000000
1,heat,5,2045,heatpump,2040,all-year,all-week,morning,4.00000000000
1,heat,6,2040,heatpump,2030,all-year,all-week,morning,3.50000000000
1,heat,7,2045,heatpump,2040,all-year,all-week,morning,4.00000000000
1,CO2f,0,2040,gasboiler,2030,all-year,all-week,morning,226.48500000000
1,CO2f,1,2045,gasboiler,2040,all-year,all-week,morning,258.84000000000
1,CO2f,2,2040,gasboiler,2030,all-year,all-week,morning,226.48500000000
1,CO2f,3,2045,gasboiler,2040,all-year,all-week,morning,258.84000000000
2,heat,0,2040,gasboiler,2030,all-year,all-week,afternoon,2.33330000000
2,heat,1,2045,gasboiler,2040,all-year,all-week,afternoon,2.66670000000
2,heat,2,2040,gasboiler,2030,all-year,all-week,afternoon,2.33330000000
2,heat,3,2045,gasboiler,2040,all-year,all-week,afternoon,2.66670000000
2,heat,4,2040,heatpump,2030,all-year,all-week,afternoon,2.33330000000
2,heat,5,2045,heatpump,2040,all-year,all-week,afternoon,2.66670000000
2,heat,6,2040,heatpump,2030,all-year,all-week,afternoon,2.33330000000
2,heat,7,2045,heatpump,2040,all-year,all-week,afternoon,2.66670000000
2,CO2f,0,2040,gasboiler,2030,all-year,all-week,afternoon,150.99000000000
2,CO2f,1,2045,gasboiler,2040,all-year,all-week,afternoon,172.56000000000
2,CO2f,2,2040,gasboiler,2030,all-year,all-week,afternoon,150.99000000000
2,CO2f,3,2045,gasboiler,2040,all-year,all-week,afternoon,172.56000000000
3,heat,0,2040,gasboiler,2030,all-year,all-week,early-peak,3.50000000000
3,heat,1,2045,gasboiler,2040,all-year,all-week,early-peak,4.00000000000
3,heat,2,2040,gasboiler,2030,all-year,all-week,early-peak,3.50000000000
3,heat,3,2045,gasboiler,2040,all-year,all-week,early-peak,4.00000000000
3,heat,4,2040,heatpump,2030,all-year,all-week,early-peak,3.50000000000
3,heat,5,2045,heatpump,2040,all-year,all-week,early-peak,4.00000000000
3,heat,6,2040,heatpump,2030,all-year,all-week,early-peak,3.50000000000
3,heat,7,2045,heatpump,2040,all-year,all-week,early-peak,4.00000000000
3,CO2f,0,2040,gasboiler,2030,all-year,all-week,early-peak,226.48500000000
3,CO2f,1,2045,gasboiler,2040,all-year,all-week,early-peak,258.84000000000
3,CO2f,2,2040,gasboiler,2030,all-year,all-week,early-peak,226.48500000000
3,CO2f,3,2045,gasboiler,2040,all-year,all-week,early-peak,258.84000000000
4,heat,0,2040,gasboiler,2030,all-year,all-week,late-peak,7.00000000000
4,heat,1,2045,gasboiler,2040,all-year,all-week,late-peak,8.00000000000
4,heat,2,2040,gasboiler,2030,all-year,all-week,late-peak,7.00000000000
4,heat,3,2045,gasboiler,2040,all-year,all-week,late-peak,8.00000000000
4,heat,4,2040,heatpump,2030,all-year,all-week,late-peak,7.00000000000
4,heat,5,2045,heatpump,2040,all-year,all-week,late-peak,8.00000000000
4,heat,6,2040,heatpump,2030,all-year,all-week,late-peak,7.00000000000
4,heat,7,2045,heatpump,2040,all-year,all-week,late-peak,8.00000000000
4,CO2f,0,2040,gasboiler,2030,all-year,all-week,late-peak,452.97000000000
4,CO2f,1,2045,gasboiler,2040,all-year,all-week,late-peak,517.68000000000
4,CO2f,2,2040,gasboiler,2030,all-year,all-week,late-peak,452.97000000000
4,CO2f,3,2045,gasboiler,2040,all-year,all-week,late-peak,517.68000000000
5,heat,0,2040,gasboiler,2030,all-year,all-week,evening,4.66670000000
5,heat,1,2045,gasboiler,2040,all-year,all-week,evening,5.33330000000
5,heat,2,2040,gasboiler,2030,all-year,all-week,evening,4.66670000000
5,heat,3,2045,gasboiler,2040,all-year,all-week,evening,5.33330000000
5,heat,4,2040,heatpump,2030,all-year,all-week,evening,4.66670000000
5,heat,5,2045,heatpump,2040,all-year,all-week,evening,5.33330000000
5,heat,6,2040,heatpump,2030,all-year,all-week,evening,4.66670000000
5,heat,7,2045,heatpump,2040,all-year,all-week,evening,5.33330000000
5,CO2f,0,2040,gasboiler,2030,all-year,all-week,evening,301.98000000000
5,CO2f,1,2045,gasboiler,2040,all-year,all-week,evening,345.12000000000
5,CO2f,2,2040,gasboiler,2030,all-year,all-week,evening,301.98000000000
5,CO2f,3,2045,gasboiler,2040,all-year,all-week,evening,345.12000000000
