,asset,year,region,technology,installed,capacity
0,0,2030,R1,gassupply1,2020,1.00000000000
1,0,2034,R1,gassupply1,2020,1.00000000000
10,1,2030,R1,gassupply1,2025,0.59060000000
11,1,2034,R1,gassupply1,2025,0.59060000000
12,1,2035,R1,gassupply1,2025,0.59060000000
13,1,2039,R1,gassupply1,2025,0.59060000000
22,2,2035,R1,gassupply1,2030,0.18770000000
23,2,2039,R1,gassupply1,2030,0.18770000000
24,2,2040,R1,gassupply1,2030,0.18770000000
25,2,2044,R1,gassupply1,2030,0.18770000000
30,3,2030,R1,gassupply2,2020,0.41250000000
31,3,2034,R1,gassupply2,2020,0.41250000000
42,4,2035,R1,gassupply2,2030,0.04130000000
43,4,2039,R1,gassupply2,2030,0.04130000000
44,4,2040,R1,gassupply2,2030,0.04130000000
45,4,2044,R1,gassupply2,2030,0.04130000000
52,5,2035,R1,gassupply3,2030,0.66640000000
53,5,2039,R1,gassupply3,2030,0.66640000000
54,5,2040,R1,gassupply3,2030,0.66640000000
55,5,2044,R1,gassupply3,2030,0.66640000000
