,asset,year,region,installed,technology,capacity
90,6,2045,R1,2035,gassupply1,0.13350000000
91,6,2049,R1,2035,gassupply1,0.13350000000
104,7,2045,R1,2040,gassupply1,0.01700000000
105,7,2049,R1,2040,gassupply1,0.01700000000
106,7,2050,R1,2040,gassupply1,0.01700000000
107,7,2054,R1,2040,gassupply1,0.01700000000
118,8,2045,R1,2040,gassupply2,0.00280000000
119,8,2049,R1,2040,gassupply2,0.00280000000
120,8,2050,R1,2040,gassupply2,0.00280000000
121,8,2054,R1,2040,gassupply2,0.00280000000
132,9,2045,R1,2040,gassupply3,0.04440000000
133,9,2049,R1,2040,gassupply3,0.04440000000
134,9,2050,R1,2040,gassupply3,0.04440000000
135,9,2054,R1,2040,gassupply3,0.04440000000
148,10,2050,R1,2045,gassupply1,0.02840000000
149,10,2054,R1,2045,gassupply1,0.02840000000
150,10,2055,R1,2045,gassupply1,0.02840000000
151,10,2059,R1,2045,gassupply1,0.02840000000
162,11,2050,R1,2045,gassupply2,0.00030000000
163,11,2054,R1,2045,gassupply2,0.00030000000
164,11,2055,R1,2045,gassupply2,0.00030000000
165,11,2059,R1,2045,gassupply2,0.00030000000
176,12,2050,R1,2045,gassupply3,0.00440000000
177,12,2054,R1,2045,gassupply3,0.00440000000
178,12,2055,R1,2045,gassupply3,0.00440000000
179,12,2059,R1,2045,gassupply3,0.00440000000
