timeslice,commodity,region,year,units_prices,month,day,hour,prices
0,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,night,19.50000000000
0,gas,R1,2020,MUS$2010/PJ,all-year,all-week,night,7.15280000000
0,heat,R1,2020,MUS$2010/PJ,all-year,all-week,night,100.00000000000
0,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,night,0.08310000000
1,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,morning,19.50000000000
1,gas,R1,2020,MUS$2010/PJ,all-year,all-week,morning,7.15280000000
1,heat,R1,2020,MUS$2010/PJ,all-year,all-week,morning,100.00000000000
1,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,morning,0.08310000000
2,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,mid-afternoon,19.50000000000
2,gas,R1,2020,MUS$2010/PJ,all-year,all-week,mid-afternoon,7.15280000000
2,heat,R1,2020,MUS$2010/PJ,all-year,all-week,mid-afternoon,100.00000000000
2,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,mid-afternoon,0.08310000000
3,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,early-peak,19.50000000000
3,gas,R1,2020,MUS$2010/PJ,all-year,all-week,early-peak,7.15280000000
3,heat,R1,2020,MUS$2010/PJ,all-year,all-week,early-peak,100.00000000000
3,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,early-peak,0.08310000000
4,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,late-peak,19.50000000000
4,gas,R1,2020,MUS$2010/PJ,all-year,all-week,late-peak,7.15280000000
4,heat,R1,2020,MUS$2010/PJ,all-year,all-week,late-peak,100.00000000000
4,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,late-peak,0.08310000000
5,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,evening,19.50000000000
5,gas,R1,2020,MUS$2010/PJ,all-year,all-week,evening,7.15280000000
5,heat,R1,2020,MUS$2010/PJ,all-year,all-week,evening,100.00000000000
5,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,evening,0.08310000000
6,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,early-morning,19.50000000000
6,gas,R1,2020,MUS$2010/PJ,all-year,all-week,early-morning,7.15280000000
6,heat,R1,2020,MUS$2010/PJ,all-year,all-week,early-morning,100.00000000000
6,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,early-morning,0.08310000000
7,electricity,R1,2020,MUS$2010/PJ,all-year,all-week,late-afternoon,19.50000000000
7,gas,R1,2020,MUS$2010/PJ,all-year,all-week,late-afternoon,7.15280000000
7,heat,R1,2020,MUS$2010/PJ,all-year,all-week,late-afternoon,100.00000000000
7,CO2f,R1,2020,MUS$2010/kt,all-year,all-week,late-afternoon,0.08310000000
