,timeslice,region,technology,year,agent,category,sector,EAC
0,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A1,retrofit,residential,8.81001130399
1,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A1,retrofit,residential,6.38439947781
2,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A1,retrofit,residential,13.21528835558
3,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A1,retrofit,residential,9.22110676283
4,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A1,retrofit,residential,8.81001130399
5,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A1,retrofit,residential,6.38439947781
6,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A1,retrofit,residential,13.21528835558
7,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A1,retrofit,residential,9.22110676283
8,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A1,retrofit,residential,29.50261207924
9,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A1,retrofit,residential,16.34781428883
10,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A1,retrofit,residential,17.96190267029
11,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A1,retrofit,residential,11.82510302154
12,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A2,retrofit,residential,6.60750847799
13,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A2,retrofit,residential,4.78829960836
14,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A2,retrofit,residential,9.91146626669
15,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A2,retrofit,residential,6.91583007212
16,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A2,retrofit,residential,6.60750847799
17,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A2,retrofit,residential,4.78829960836
18,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A2,retrofit,residential,9.91146626669
19,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A2,retrofit,residential,6.91583007212
20,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A2,retrofit,residential,22.12695905943
21,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A2,retrofit,residential,12.26086071662
22,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A2,retrofit,residential,13.47142700272
23,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A2,retrofit,residential,8.86882726615
24,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A3,retrofit,residential,6.60750847799
25,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A3,retrofit,residential,4.78829960836
26,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A3,retrofit,residential,9.91146626669
27,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A3,retrofit,residential,6.91583007212
28,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A3,retrofit,residential,6.60750847799
29,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A3,retrofit,residential,4.78829960836
30,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A3,retrofit,residential,9.91146626669
31,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A3,retrofit,residential,6.91583007212
32,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A3,retrofit,residential,22.12695905943
33,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A3,retrofit,residential,12.26086071662
34,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A3,retrofit,residential,13.47142700272
35,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A3,retrofit,residential,8.86882726615
36,"('all-year', 'all-week', 'night')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
37,"('all-year', 'all-week', 'night')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
38,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
39,"('all-year', 'all-week', 'morning')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
40,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
41,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
42,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
43,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
44,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
45,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
46,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
47,"('all-year', 'all-week', 'evening')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
48,"('all-year', 'all-week', 'night')",R1,gassupply1,2020,A1,retrofit,gas,85.95160229290
49,"('all-year', 'all-week', 'night')",R1,gassupply2,2020,A1,retrofit,gas,155.76882005378
50,"('all-year', 'all-week', 'night')",R1,gassupply3,2020,A1,retrofit,gas,225.58603778979
51,"('all-year', 'all-week', 'morning')",R1,gassupply1,2020,A1,retrofit,gas,127.20609998959
52,"('all-year', 'all-week', 'morning')",R1,gassupply2,2020,A1,retrofit,gas,231.93192663092
53,"('all-year', 'all-week', 'morning')",R1,gassupply3,2020,A1,retrofit,gas,336.65775323493
54,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2020,A1,retrofit,gas,85.95160229290
55,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2020,A1,retrofit,gas,155.76882005378
56,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2020,A1,retrofit,gas,225.58603778979
57,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2020,A1,retrofit,gas,127.20609998959
58,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2020,A1,retrofit,gas,231.93192663092
59,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2020,A1,retrofit,gas,336.65775323493
60,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2020,A1,retrofit,gas,236.03540872001
61,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2020,A1,retrofit,gas,445.48706200267
62,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2020,A1,retrofit,gas,654.93871521070
63,"('all-year', 'all-week', 'evening')",R1,gassupply1,2020,A1,retrofit,gas,166.41873199082
64,"('all-year', 'all-week', 'evening')",R1,gassupply2,2020,A1,retrofit,gas,306.05316751259
65,"('all-year', 'all-week', 'evening')",R1,gassupply3,2020,A1,retrofit,gas,445.68760298461
66,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A1,retrofit,residential,5.76282458457
67,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A1,retrofit,residential,6.98331629081
68,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A1,retrofit,residential,8.88561091946
69,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A1,retrofit,residential,10.06084372151
