commodity,asset,year,region,installed,technology,supply
heat,5,2034,R1,2024,heatpump,9.20000000000
heat,7,2034,R1,2026,heatpump,3.20000000000
heat,7,2036,R1,2026,heatpump,3.20000000000
heat,9,2034,R1,2028,heatpump,25.20000000000
heat,9,2036,R1,2028,heatpump,25.20000000000
heat,9,2039,R1,2028,heatpump,25.20000000000
heat,11,2034,R1,2030,heatpump,10.40000000000
heat,11,2036,R1,2030,heatpump,10.40000000000
heat,11,2039,R1,2030,heatpump,10.40000000000
heat,13,2034,R1,2032,heatpump,12.40000000000
heat,13,2036,R1,2032,heatpump,12.40000000000
heat,13,2039,R1,2032,heatpump,12.40000000000
heat,15,2036,R1,2034,heatpump,6.40000000000
heat,15,2039,R1,2034,heatpump,6.40000000000
heat,21,2034,R2,2024,heatpump,6.20000000000
heat,23,2034,R2,2026,heatpump,3.20000000000
heat,23,2036,R2,2026,heatpump,3.20000000000
heat,25,2034,R2,2028,heatpump,26.13330000000
heat,25,2036,R2,2028,heatpump,27.86670000000
heat,25,2039,R2,2028,heatpump,30.20000000000
heat,27,2034,R2,2030,heatpump,8.40000000000
heat,27,2036,R2,2030,heatpump,8.40000000000
heat,27,2039,R2,2030,heatpump,8.40000000000
heat,29,2034,R2,2032,heatpump,9.40000000000
heat,29,2036,R2,2032,heatpump,9.40000000000
heat,29,2039,R2,2032,heatpump,9.40000000000
heat,31,2036,R2,2034,heatpump,6.40000000000
heat,31,2039,R2,2034,heatpump,6.40000000000
