region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2025,all-year,all-week,night,1.33330000000
R1,0,heat,2030,all-year,all-week,night,1.66670000000
R1,0,CO2f,2025,all-year,all-week,night,17.97500000000
R1,0,CO2f,2030,all-year,all-week,night,14.73950000000
R1,1,heat,2025,all-year,all-week,morning,2.00000000000
R1,1,heat,2030,all-year,all-week,morning,2.50000000000
R1,1,CO2f,2025,all-year,all-week,morning,26.96250000000
R1,1,CO2f,2030,all-year,all-week,morning,22.10920000000
R1,2,heat,2025,all-year,all-week,afternoon,1.33330000000
R1,2,heat,2030,all-year,all-week,afternoon,1.66670000000
R1,2,CO2f,2025,all-year,all-week,afternoon,17.97500000000
R1,2,CO2f,2030,all-year,all-week,afternoon,14.73950000000
R1,3,heat,2025,all-year,all-week,early-peak,2.00000000000
R1,3,heat,2030,all-year,all-week,early-peak,2.50000000000
R1,3,CO2f,2025,all-year,all-week,early-peak,26.96250000000
R1,3,CO2f,2030,all-year,all-week,early-peak,22.10920000000
R1,4,heat,2025,all-year,all-week,late-peak,4.00000000000
R1,4,heat,2030,all-year,all-week,late-peak,5.00000000000
R1,4,CO2f,2025,all-year,all-week,late-peak,53.92500000000
R1,4,CO2f,2030,all-year,all-week,late-peak,44.21850000000
R1,5,heat,2025,all-year,all-week,evening,2.66670000000
R1,5,heat,2030,all-year,all-week,evening,3.33330000000
R1,5,CO2f,2025,all-year,all-week,evening,35.95000000000
R1,5,CO2f,2030,all-year,all-week,evening,29.47900000000
