commodity,asset,year,region,technology,installed,supply
heat,0,2035,R1,gasboiler,2025,7.80000000000
heat,2,2040,R1,gasboiler,2035,3.78000000000
heat,3,2035,R1,heatpump,2025,10.20000000000
heat,4,2035,R1,heatpump,2030,27.00000000000
heat,4,2040,R1,heatpump,2030,30.00000000000
heat,5,2040,R1,heatpump,2035,22.22000000000
heat,9,2035,R2,heatpump,2025,13.00000000000
heat,10,2035,R2,heatpump,2030,27.00000000000
heat,10,2040,R2,heatpump,2030,31.33330000000
heat,11,2040,R2,heatpump,2035,21.00000000000
CO2f,0,2035,R1,gasboiler,2025,504.73820000000
CO2f,2,2040,R1,gasboiler,2035,244.60410000000
