commodity,asset,year,region,technology,installed,supply
heat,5,2028,R1,heatpump,2020,20.93330000000
heat,5,2030,R1,heatpump,2020,22.00000000000
heat,6,2028,R1,heatpump,2022,7.20000000000
heat,6,2030,R1,heatpump,2022,7.20000000000
heat,6,2033,R1,heatpump,2022,7.20000000000
heat,7,2028,R1,heatpump,2024,9.20000000000
heat,7,2030,R1,heatpump,2024,9.20000000000
heat,7,2033,R1,heatpump,2024,9.20000000000
heat,8,2028,R1,heatpump,2026,3.20000000000
heat,8,2030,R1,heatpump,2026,3.20000000000
heat,8,2033,R1,heatpump,2026,3.20000000000
heat,9,2030,R1,heatpump,2028,22.66670000000
heat,9,2033,R1,heatpump,2028,22.00000000000
heat,15,2028,R2,heatpump,2020,20.93330000000
heat,15,2030,R2,heatpump,2020,22.66670000000
heat,16,2028,R2,heatpump,2022,5.20000000000
heat,16,2030,R2,heatpump,2022,5.20000000000
heat,16,2033,R2,heatpump,2022,5.20000000000
heat,17,2028,R2,heatpump,2024,6.20000000000
heat,17,2030,R2,heatpump,2024,6.20000000000
heat,17,2033,R2,heatpump,2024,6.20000000000
heat,18,2028,R2,heatpump,2026,3.20000000000
heat,18,2030,R2,heatpump,2026,3.20000000000
heat,18,2033,R2,heatpump,2026,3.20000000000
heat,19,2030,R2,heatpump,2028,22.66670000000
heat,19,2033,R2,heatpump,2028,25.26670000000
CO2f,10,2028,R2,gasboiler,2020,0.00010000000
CO2f,10,2030,R2,gasboiler,2020,0.00010000000
