,asset,year,region,technology,installed,capacity
0,0,2035,R1,gasboiler,2025,2.20000000000
1,0,2039,R1,gasboiler,2025,2.20000000000
7,1,2035,R1,heatpump,2025,8.80000000000
8,1,2039,R1,heatpump,2025,8.80000000000
14,2,2035,R1,heatpump,2030,25.00000000000
15,2,2039,R1,heatpump,2030,25.00000000000
16,2,2040,R1,heatpump,2030,25.00000000000
17,2,2044,R1,heatpump,2030,25.00000000000
23,3,2040,R1,heatpump,2035,17.00000000000
24,3,2044,R1,heatpump,2035,17.00000000000
25,3,2045,R1,heatpump,2035,17.00000000000
26,3,2049,R1,heatpump,2035,17.00000000000
