,asset,year,region,technology,installed,capacity
0,0,2040,R1,gasboiler,2030,3.60000000000
1,0,2044,R1,gasboiler,2030,3.60000000000
8,1,2045,R1,gasboiler,2040,3.72000000000
9,1,2050,R1,gasboiler,2040,3.72000000000
10,1,2054,R1,gasboiler,2040,3.72000000000
12,2,2040,R1,heatpump,2030,114.40000000000
13,2,2044,R1,heatpump,2030,114.40000000000
20,3,2045,R1,heatpump,2040,120.28000000000
21,3,2050,R1,heatpump,2040,120.28000000000
22,3,2054,R1,heatpump,2040,120.28000000000
