technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,retrofit,2020,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2020,1.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2020,15.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,5.00000000000
heatpump,R1,R1,A1,residential,retrofit,2025,19.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2025,1.00000000000
solarPV,R1,R1,A1,power,retrofit,2025,6.75000000000
windturbine,R1,R1,A1,power,retrofit,2025,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2025,15.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,4.10000000000
heatpump,R1,R1,A1,residential,retrofit,2030,19.00000000000
heatpump,R1,R1,A1,residential,retrofit,2030,6.90000000000
gasCCGT,R1,R1,A1,power,retrofit,2030,3.00000000000
solarPV,R1,R1,A1,power,retrofit,2030,6.75000000000
solarPV,R1,R1,A1,power,retrofit,2030,2.40000000000
windturbine,R1,R1,A1,power,retrofit,2030,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,7.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,2.79440000000
gasboiler,R1,R1,A1,residential,retrofit,2035,4.10000000000
heatpump,R1,R1,A1,residential,retrofit,2035,6.90000000000
heatpump,R1,R1,A1,residential,retrofit,2035,25.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2035,3.00000000000
solarPV,R1,R1,A1,power,retrofit,2035,6.75000000000
solarPV,R1,R1,A1,power,retrofit,2035,2.40000000000
solarPV,R1,R1,A1,power,retrofit,2035,6.00000000000
windturbine,R1,R1,A1,power,retrofit,2035,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2035,2.79440000000
gassupply1,R1,R1,A1,gas,retrofit,2035,7.50000000000
gasboiler,R1,R1,A1,residential,retrofit,2040,0.91000000000
heatpump,R1,R1,A1,residential,retrofit,2040,25.00000000000
heatpump,R1,R1,A1,residential,retrofit,2040,16.09000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,3.00000000000
solarPV,R1,R1,A1,power,retrofit,2040,6.75000000000
solarPV,R1,R1,A1,power,retrofit,2040,2.40000000000
solarPV,R1,R1,A1,power,retrofit,2040,6.00000000000
solarPV,R1,R1,A1,power,retrofit,2040,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,8.38000000000
gassupply1,R1,R1,A1,gas,retrofit,2040,2.79440000000
gassupply1,R1,R1,A1,gas,retrofit,2040,7.50000000000
gasboiler,R1,R1,A1,residential,retrofit,2045,0.91000000000
heatpump,R1,R1,A1,residential,retrofit,2045,16.09000000000
heatpump,R1,R1,A1,residential,retrofit,2045,31.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,3.00000000000
solarPV,R1,R1,A1,power,retrofit,2045,6.75000000000
solarPV,R1,R1,A1,power,retrofit,2045,2.40000000000
solarPV,R1,R1,A1,power,retrofit,2045,6.00000000000
solarPV,R1,R1,A1,power,retrofit,2045,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,8.38000000000
gassupply1,R1,R1,A1,gas,retrofit,2045,2.79440000000
gassupply1,R1,R1,A1,gas,retrofit,2045,7.50000000000
heatpump,R1,R1,A1,residential,retrofit,2050,31.00000000000
heatpump,R1,R1,A1,residential,retrofit,2050,23.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,3.00000000000
solarPV,R1,R1,A1,power,retrofit,2050,2.40000000000
solarPV,R1,R1,A1,power,retrofit,2050,6.00000000000
solarPV,R1,R1,A1,power,retrofit,2050,10.00000000000
solarPV,R1,R1,A1,power,retrofit,2050,16.91000000000
windturbine,R1,R1,A1,power,retrofit,2050,8.38000000000
windturbine,R1,R1,A1,power,retrofit,2050,3.56000000000
gassupply1,R1,R1,A1,gas,retrofit,2050,2.79440000000
gassupply1,R1,R1,A1,gas,retrofit,2050,7.50000000000
