,asset,dst_region,year,region,technology,installed,capacity
0,0,R1,2020,R1,gasCCGT,2010,240.00000000000
1,0,R1,2025,R1,gasCCGT,2010,192.00000000000
2,0,R1,2030,R1,gasCCGT,2010,153.60000000000
3,0,R1,2035,R1,gasCCGT,2010,122.88000000000
4,0,R1,2040,R1,gasCCGT,2010,98.30400000000
5,0,R1,2045,R1,gasCCGT,2010,78.64320000000
6,0,R1,2050,R1,gasCCGT,2010,62.91460000000
21,1,R2,2020,R2,gasCCGT,2010,200.00000000000
22,1,R2,2025,R2,gasCCGT,2010,140.00000000000
23,1,R2,2030,R2,gasCCGT,2010,98.00000000000
24,1,R2,2035,R2,gasCCGT,2010,68.60000000000
25,1,R2,2040,R2,gasCCGT,2010,48.02000000000
26,1,R2,2045,R2,gasCCGT,2010,33.61400000000
27,1,R2,2050,R2,gasCCGT,2010,23.52980000000
