commodity,day,hour,month,region,supply,timeslice,units_prices,year
electricity,all-week,evening,all-year,r1,0.7243,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,r1,2.5395,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,r1,4.0000,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,r1,141.6655,5,MUS$2010/kt,2035
electricity,all-week,night,all-year,r1,0.4667,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,r1,1.3533,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,r1,2.3333,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,r1,75.4950,0,MUS$2010/kt,2040
electricity,all-week,morning,all-year,r1,0.7000,1,MUS$2010/PJ,2040
gas,all-week,morning,all-year,r1,2.0300,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,r1,3.5000,1,MUS$2010/PJ,2040
CO2f,all-week,morning,all-year,r1,113.2425,1,MUS$2010/kt,2040
electricity,all-week,afternoon,all-year,r1,0.4667,2,MUS$2010/PJ,2040
gas,all-week,afternoon,all-year,r1,1.3533,2,MUS$2010/PJ,2040
heat,all-week,afternoon,all-year,r1,2.3333,2,MUS$2010/PJ,2040
CO2f,all-week,afternoon,all-year,r1,75.4950,2,MUS$2010/kt,2040
electricity,all-week,early-peak,all-year,r1,0.7000,3,MUS$2010/PJ,2040
gas,all-week,early-peak,all-year,r1,2.0300,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,r1,3.5000,3,MUS$2010/PJ,2040
CO2f,all-week,early-peak,all-year,r1,113.2425,3,MUS$2010/kt,2040
electricity,all-week,late-peak,all-year,r1,1.4000,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,r1,4.0600,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,r1,7.0000,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,r1,226.4850,4,MUS$2010/kt,2040
electricity,all-week,evening,all-year,r1,0.9333,5,MUS$2010/PJ,2040
gas,all-week,evening,all-year,r1,2.7067,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,r1,4.6667,5,MUS$2010/PJ,2040
CO2f,all-week,evening,all-year,r1,150.9900,5,MUS$2010/kt,2040
electricity,all-week,night,all-year,r1,0.5333,0,MUS$2010/PJ,2045
gas,all-week,night,all-year,r1,1.5467,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,r1,2.6667,0,MUS$2010/PJ,2045
CO2f,all-week,night,all-year,r1,86.2800,0,MUS$2010/kt,2045
electricity,all-week,morning,all-year,r1,0.8000,1,MUS$2010/PJ,2045
gas,all-week,morning,all-year,r1,2.3200,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,r1,4.0000,1,MUS$2010/PJ,2045
CO2f,all-week,morning,all-year,r1,129.4200,1,MUS$2010/kt,2045
electricity,all-week,afternoon,all-year,r1,0.5333,2,MUS$2010/PJ,2045
gas,all-week,afternoon,all-year,r1,1.5467,2,MUS$2010/PJ,2045
heat,all-week,afternoon,all-year,r1,2.6667,2,MUS$2010/PJ,2045
