commodity,asset,year,region,technology,installed,supply
heat,0,2035,R1,gasboiler,2025,8.60000000000
heat,2,2040,R1,gasboiler,2035,5.86000000000
heat,3,2035,R1,heatpump,2025,7.40000000000
heat,4,2035,R1,heatpump,2030,20.00000000000
heat,4,2040,R1,heatpump,2030,20.00000000000
heat,5,2040,R1,heatpump,2035,16.14000000000
heat,6,2035,R2,gasboiler,2025,8.60000000000
heat,8,2040,R2,gasboiler,2035,5.86000000000
heat,9,2035,R2,heatpump,2025,7.40000000000
heat,10,2035,R2,heatpump,2030,20.00000000000
heat,10,2040,R2,heatpump,2030,20.00000000000
heat,11,2040,R2,heatpump,2035,16.14000000000
CO2f,0,2035,R1,gasboiler,2025,556.50600000000
CO2f,2,2040,R1,gasboiler,2035,379.20060000000
CO2f,6,2035,R2,gasboiler,2025,556.50600000000
CO2f,8,2040,R2,gasboiler,2035,379.20060000000
