timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2025,0,R1,all-year,all-week,night,gasboiler,2020,0.80560000000
0,heat,2025,1,R1,all-year,all-week,night,heatpump,2020,0.52780000000
0,heat,2030,0,R1,all-year,all-week,night,gasboiler,2020,0.52780000000
0,heat,2030,1,R1,all-year,all-week,night,heatpump,2020,0.52780000000
0,heat,2030,2,R1,all-year,all-week,night,heatpump,2025,0.61110000000
0,CO2f,2025,0,R1,all-year,all-week,night,gasboiler,2020,52.12750000000
0,CO2f,2030,0,R1,all-year,all-week,night,gasboiler,2020,34.15250000000
1,heat,2025,0,R1,all-year,all-week,morning,gasboiler,2020,1.20830000000
1,heat,2025,1,R1,all-year,all-week,morning,heatpump,2020,0.79170000000
1,heat,2030,0,R1,all-year,all-week,morning,gasboiler,2020,0.79170000000
1,heat,2030,1,R1,all-year,all-week,morning,heatpump,2020,0.79170000000
1,heat,2030,2,R1,all-year,all-week,morning,heatpump,2025,0.91670000000
1,CO2f,2025,0,R1,all-year,all-week,morning,gasboiler,2020,78.19120000000
1,CO2f,2030,0,R1,all-year,all-week,morning,gasboiler,2020,51.22880000000
2,heat,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.80560000000
2,heat,2025,1,R1,all-year,all-week,afternoon,heatpump,2020,0.52780000000
2,heat,2030,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.52780000000
2,heat,2030,1,R1,all-year,all-week,afternoon,heatpump,2020,0.52780000000
2,heat,2030,2,R1,all-year,all-week,afternoon,heatpump,2025,0.61110000000
2,CO2f,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,52.12750000000
2,CO2f,2030,0,R1,all-year,all-week,afternoon,gasboiler,2020,34.15250000000
3,heat,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,1.20830000000
3,heat,2025,1,R1,all-year,all-week,early-peak,heatpump,2020,0.79170000000
3,heat,2030,0,R1,all-year,all-week,early-peak,gasboiler,2020,0.79170000000
3,heat,2030,1,R1,all-year,all-week,early-peak,heatpump,2020,0.79170000000
3,heat,2030,2,R1,all-year,all-week,early-peak,heatpump,2025,0.91670000000
3,CO2f,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,78.19120000000
3,CO2f,2030,0,R1,all-year,all-week,early-peak,gasboiler,2020,51.22880000000
4,heat,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,2.41670000000
4,heat,2025,1,R1,all-year,all-week,late-peak,heatpump,2020,1.58330000000
4,heat,2030,0,R1,all-year,all-week,late-peak,gasboiler,2020,1.58330000000
4,heat,2030,1,R1,all-year,all-week,late-peak,heatpump,2020,1.58330000000
4,heat,2030,2,R1,all-year,all-week,late-peak,heatpump,2025,1.83330000000
4,CO2f,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,156.38250000000
4,CO2f,2030,0,R1,all-year,all-week,late-peak,gasboiler,2020,102.45750000000
5,heat,2025,0,R1,all-year,all-week,evening,gasboiler,2020,1.61110000000
5,heat,2025,1,R1,all-year,all-week,evening,heatpump,2020,1.05560000000
5,heat,2030,0,R1,all-year,all-week,evening,gasboiler,2020,1.05560000000
5,heat,2030,1,R1,all-year,all-week,evening,heatpump,2020,1.05560000000
5,heat,2030,2,R1,all-year,all-week,evening,heatpump,2025,1.22220000000
5,CO2f,2025,0,R1,all-year,all-week,evening,gasboiler,2020,104.25500000000
5,CO2f,2030,0,R1,all-year,all-week,evening,gasboiler,2020,68.30500000000
