asset,capacity,installed,region,technology,year
0,1.00000000000,2020,R1,gasCCGT,2020
0,2.02780000000,2020,R1,gasCCGT,2025
2,2.31250000000,2020,R1,windturbine,2025
0,1.02780000000,2020,R1,gasCCGT,2030
1,3.19440000000,2025,R1,gasCCGT,2030
2,2.31250000000,2020,R1,windturbine,2030
3,7.18750000000,2025,R1,windturbine,2030
0,1.02780000000,2020,R1,gasCCGT,2035
1,3.19440000000,2025,R1,gasCCGT,2035
3,2.31250000000,2020,R1,windturbine,2035
4,7.18750000000,2025,R1,windturbine,2035
5,0.37500000000,2030,R1,windturbine,2035
0,1.02780000000,2020,R1,gasCCGT,2040
1,3.19440000000,2025,R1,gasCCGT,2040
2,0.41670000000,2035,R1,gasCCGT,2040
3,2.31250000000,2020,R1,windturbine,2040
4,7.18750000000,2025,R1,windturbine,2040
5,0.37500000000,2030,R1,windturbine,2040
6,2.18750000000,2035,R1,windturbine,2040
0,1.02780000000,2020,R1,gasCCGT,2045
1,3.19440000000,2025,R1,gasCCGT,2045
2,0.41670000000,2035,R1,gasCCGT,2045
3,2.31250000000,2020,R1,windturbine,2045
4,7.18750000000,2025,R1,windturbine,2045
5,0.37500000000,2030,R1,windturbine,2045
6,2.18750000000,2035,R1,windturbine,2045
7,6.00000000000,2040,R1,windturbine,2045
0,1.02780000000,2020,R1,gasCCGT,2050
1,3.19440000000,2025,R1,gasCCGT,2050
2,0.41670000000,2035,R1,gasCCGT,2050
5,7.18750000000,2025,R1,windturbine,2050
6,0.37500000000,2030,R1,windturbine,2050
7,2.18750000000,2035,R1,windturbine,2050
8,6.00000000000,2040,R1,windturbine,2050
9,11.06250000000,2045,R1,windturbine,2050
