,asset,year,region,installed,technology,capacity
12,1,2035,R1,2025,gassupply1,4.57580000000
13,1,2040,R1,2025,gassupply1,4.57580000000
14,1,2045,R1,2025,gassupply1,4.57580000000
15,1,2050,R1,2025,gassupply1,4.57580000000
16,1,2064,R1,2025,gassupply1,4.57580000000
22,2,2035,R1,2030,gassupply1,7.50000000000
23,2,2040,R1,2030,gassupply1,7.50000000000
24,2,2045,R1,2030,gassupply1,7.50000000000
25,2,2050,R1,2030,gassupply1,7.50000000000
26,2,2064,R1,2030,gassupply1,7.50000000000
27,2,2065,R1,2030,gassupply1,7.50000000000
28,2,2069,R1,2030,gassupply1,7.50000000000
