asset,commodity,day,hour,installed,month,region,supply,technology,timeslice,year
0,heat,all-week,night,2020,all-year,R1,1.00000000000,gasboiler,0,2020
0,CO2f,all-week,night,2020,all-year,R1,64.71000000000,gasboiler,0,2020
0,heat,all-week,morning,2020,all-year,R1,1.50000000000,gasboiler,1,2020
0,CO2f,all-week,morning,2020,all-year,R1,97.06500000000,gasboiler,1,2020
0,heat,all-week,afternoon,2020,all-year,R1,1.00000000000,gasboiler,2,2020
0,CO2f,all-week,afternoon,2020,all-year,R1,64.71000000000,gasboiler,2,2020
0,heat,all-week,early-peak,2020,all-year,R1,1.50000000000,gasboiler,3,2020
0,CO2f,all-week,early-peak,2020,all-year,R1,97.06500000000,gasboiler,3,2020
0,heat,all-week,late-peak,2020,all-year,R1,3.00000000000,gasboiler,4,2020
0,CO2f,all-week,late-peak,2020,all-year,R1,194.13000000000,gasboiler,4,2020
0,heat,all-week,evening,2020,all-year,R1,2.00000000000,gasboiler,5,2020
0,CO2f,all-week,evening,2020,all-year,R1,129.42000000000,gasboiler,5,2020
0,heat,all-week,night,2020,all-year,R1,0.27780000000,gasboiler,0,2025
1,heat,all-week,night,2020,all-year,R1,1.05560000000,heatpump,0,2025
0,CO2f,all-week,night,2020,all-year,R1,17.97500000000,gasboiler,0,2025
0,heat,all-week,morning,2020,all-year,R1,0.41670000000,gasboiler,1,2025
1,heat,all-week,morning,2020,all-year,R1,1.58330000000,heatpump,1,2025
0,CO2f,all-week,morning,2020,all-year,R1,26.96250000000,gasboiler,1,2025
0,heat,all-week,afternoon,2020,all-year,R1,0.27780000000,gasboiler,2,2025
1,heat,all-week,afternoon,2020,all-year,R1,1.05560000000,heatpump,2,2025
0,CO2f,all-week,afternoon,2020,all-year,R1,17.97500000000,gasboiler,2,2025
0,heat,all-week,early-peak,2020,all-year,R1,0.41670000000,gasboiler,3,2025
1,heat,all-week,early-peak,2020,all-year,R1,1.58330000000,heatpump,3,2025
0,CO2f,all-week,early-peak,2020,all-year,R1,26.96250000000,gasboiler,3,2025
0,heat,all-week,late-peak,2020,all-year,R1,0.83330000000,gasboiler,4,2025
1,heat,all-week,late-peak,2020,all-year,R1,3.16670000000,heatpump,4,2025
0,CO2f,all-week,late-peak,2020,all-year,R1,53.92500000000,gasboiler,4,2025
0,heat,all-week,evening,2020,all-year,R1,0.55560000000,gasboiler,5,2025
1,heat,all-week,evening,2020,all-year,R1,2.11110000000,heatpump,5,2025
0,CO2f,all-week,evening,2020,all-year,R1,35.95000000000,gasboiler,5,2025
1,heat,all-week,night,2020,all-year,R1,1.09200000000,heatpump,0,2030
2,heat,all-week,night,2025,all-year,R1,0.57470000000,heatpump,0,2030
1,heat,all-week,morning,2020,all-year,R1,1.63790000000,heatpump,1,2030
2,heat,all-week,morning,2025,all-year,R1,0.86210000000,heatpump,1,2030
1,heat,all-week,afternoon,2020,all-year,R1,1.09200000000,heatpump,2,2030
2,heat,all-week,afternoon,2025,all-year,R1,0.57470000000,heatpump,2,2030
1,heat,all-week,early-peak,2020,all-year,R1,1.63790000000,heatpump,3,2030
2,heat,all-week,early-peak,2025,all-year,R1,0.86210000000,heatpump,3,2030
1,heat,all-week,late-peak,2020,all-year,R1,3.27590000000,heatpump,4,2030
2,heat,all-week,late-peak,2025,all-year,R1,1.72410000000,heatpump,4,2030
1,heat,all-week,evening,2020,all-year,R1,2.18390000000,heatpump,5,2030
2,heat,all-week,evening,2025,all-year,R1,1.14940000000,heatpump,5,2030
2,heat,all-week,night,2025,all-year,R1,0.55560000000,heatpump,0,2035
3,heat,all-week,night,2030,all-year,R1,1.44440000000,heatpump,0,2035
2,heat,all-week,morning,2025,all-year,R1,0.83330000000,heatpump,1,2035
3,heat,all-week,morning,2030,all-year,R1,2.16670000000,heatpump,1,2035
2,heat,all-week,afternoon,2025,all-year,R1,0.55560000000,heatpump,2,2035
3,heat,all-week,afternoon,2030,all-year,R1,1.44440000000,heatpump,2,2035
2,heat,all-week,early-peak,2025,all-year,R1,0.83330000000,heatpump,3,2035
3,heat,all-week,early-peak,2030,all-year,R1,2.16670000000,heatpump,3,2035
2,heat,all-week,late-peak,2025,all-year,R1,1.66670000000,heatpump,4,2035
3,heat,all-week,late-peak,2030,all-year,R1,4.33330000000,heatpump,4,2035
2,heat,all-week,evening,2025,all-year,R1,1.11110000000,heatpump,5,2035
3,heat,all-week,evening,2030,all-year,R1,2.88890000000,heatpump,5,2035
3,heat,all-week,night,2030,all-year,R1,1.44440000000,heatpump,0,2040
4,heat,all-week,night,2035,all-year,R1,0.88890000000,heatpump,0,2040
3,heat,all-week,morning,2030,all-year,R1,2.16670000000,heatpump,1,2040
4,heat,all-week,morning,2035,all-year,R1,1.33330000000,heatpump,1,2040
3,heat,all-week,afternoon,2030,all-year,R1,1.44440000000,heatpump,2,2040
4,heat,all-week,afternoon,2035,all-year,R1,0.88890000000,heatpump,2,2040
3,heat,all-week,early-peak,2030,all-year,R1,2.16670000000,heatpump,3,2040
4,heat,all-week,early-peak,2035,all-year,R1,1.33330000000,heatpump,3,2040
3,heat,all-week,late-peak,2030,all-year,R1,4.33330000000,heatpump,4,2040
4,heat,all-week,late-peak,2035,all-year,R1,2.66670000000,heatpump,4,2040
3,heat,all-week,evening,2030,all-year,R1,2.88890000000,heatpump,5,2040
4,heat,all-week,evening,2035,all-year,R1,1.77780000000,heatpump,5,2040
4,heat,all-week,night,2035,all-year,R1,0.88890000000,heatpump,0,2045
5,heat,all-week,night,2040,all-year,R1,1.77780000000,heatpump,0,2045
4,heat,all-week,morning,2035,all-year,R1,1.33330000000,heatpump,1,2045
5,heat,all-week,morning,2040,all-year,R1,2.66670000000,heatpump,1,2045
