,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasCCGT,2020,0.50000000000
13,1,2030,R1,gasCCGT,2025,0.09280000000
14,1,2035,R1,gasCCGT,2025,0.09280000000
15,1,2040,R1,gasCCGT,2025,0.09280000000
16,1,2045,R1,gasCCGT,2025,0.09280000000
17,1,2050,R1,gasCCGT,2025,0.09280000000
18,1,2054,R1,gasCCGT,2025,0.09280000000
19,1,2055,R1,gasCCGT,2025,0.09280000000
20,1,2060,R1,gasCCGT,2025,0.09280000000
21,1,2064,R1,gasCCGT,2025,0.09280000000
25,2,2030,R1,windturbine,2025,0.41770000000
26,2,2035,R1,windturbine,2025,0.41770000000
27,2,2040,R1,windturbine,2025,0.41770000000
28,2,2045,R1,windturbine,2025,0.41770000000
29,2,2050,R1,windturbine,2025,0.41770000000
30,2,2054,R1,windturbine,2025,0.41770000000
