,asset,year,region,technology,installed,capacity
0,0,2040,R1,gasboiler,2035,1.17440000000
1,0,2044,R1,gasboiler,2035,1.17440000000
2,0,2045,R1,gasboiler,2035,1.17440000000
3,0,2049,R1,gasboiler,2035,1.17440000000
7,1,2040,R1,heatpump,2030,18.14250000000
8,1,2044,R1,heatpump,2030,18.14250000000
14,2,2040,R1,heatpump,2035,5.36240000000
15,2,2044,R1,heatpump,2035,5.36240000000
16,2,2045,R1,heatpump,2035,5.36240000000
17,2,2049,R1,heatpump,2035,5.36240000000
23,3,2045,R1,heatpump,2040,18.56530000000
24,3,2049,R1,heatpump,2040,18.56530000000
25,3,2050,R1,heatpump,2040,18.56530000000
26,3,2054,R1,heatpump,2040,18.56530000000
