,asset,year,region,technology,installed,capacity
0,0,2030,R1,gasboiler,2025,3.25160000000
1,0,2034,R1,gasboiler,2025,3.25160000000
2,0,2035,R1,gasboiler,2025,3.25160000000
3,0,2039,R1,gasboiler,2025,3.25160000000
8,1,2030,R1,heatpump,2020,17.48430000000
9,1,2034,R1,heatpump,2020,17.48430000000
16,2,2030,R1,heatpump,2025,2.62930000000
17,2,2034,R1,heatpump,2025,2.62930000000
18,2,2035,R1,heatpump,2025,2.62930000000
19,2,2039,R1,heatpump,2025,2.62930000000
26,3,2035,R1,heatpump,2030,18.14250000000
27,3,2039,R1,heatpump,2030,18.14250000000
28,3,2040,R1,heatpump,2030,18.14250000000
29,3,2044,R1,heatpump,2030,18.14250000000
