,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasboiler,2020,5.00000000000
9,1,2030,R1,gasboiler,2025,3.25160000000
10,1,2034,R1,gasboiler,2025,3.25160000000
11,1,2035,R1,gasboiler,2025,3.25160000000
12,1,2039,R1,gasboiler,2025,3.25160000000
16,2,2025,R1,heatpump,2020,17.48430000000
17,2,2030,R1,heatpump,2020,17.48430000000
18,2,2034,R1,heatpump,2020,17.48430000000
25,3,2030,R1,heatpump,2025,2.62930000000
26,3,2034,R1,heatpump,2025,2.62930000000
27,3,2035,R1,heatpump,2025,2.62930000000
28,3,2039,R1,heatpump,2025,2.62930000000
