timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
0,heat,2035,2,R1,2030,gasboiler,all-year,all-week,night,1.00000000000
0,heat,2035,3,R1,2030,heatpump,all-year,all-week,night,1.00000000000
0,heat,2040,2,R1,2030,gasboiler,all-year,all-week,night,1.16670000000
0,heat,2040,3,R1,2030,heatpump,all-year,all-week,night,1.16670000000
0,CO2f,2035,2,R1,2030,gasboiler,all-year,all-week,night,64.71000000000
0,CO2f,2040,2,R1,2030,gasboiler,all-year,all-week,night,75.49500000000
1,heat,2035,2,R1,2030,gasboiler,all-year,all-week,morning,1.50000000000
1,heat,2035,3,R1,2030,heatpump,all-year,all-week,morning,1.50000000000
1,heat,2040,2,R1,2030,gasboiler,all-year,all-week,morning,1.75000000000
1,heat,2040,3,R1,2030,heatpump,all-year,all-week,morning,1.75000000000
1,CO2f,2035,2,R1,2030,gasboiler,all-year,all-week,morning,97.06500000000
1,CO2f,2040,2,R1,2030,gasboiler,all-year,all-week,morning,113.24250000000
2,heat,2035,2,R1,2030,gasboiler,all-year,all-week,afternoon,1.00000000000
2,heat,2035,3,R1,2030,heatpump,all-year,all-week,afternoon,1.00000000000
2,heat,2040,2,R1,2030,gasboiler,all-year,all-week,afternoon,1.16670000000
2,heat,2040,3,R1,2030,heatpump,all-year,all-week,afternoon,1.16670000000
2,CO2f,2035,2,R1,2030,gasboiler,all-year,all-week,afternoon,64.71000000000
2,CO2f,2040,2,R1,2030,gasboiler,all-year,all-week,afternoon,75.49500000000
3,heat,2035,2,R1,2030,gasboiler,all-year,all-week,early-peak,1.50000000000
3,heat,2035,3,R1,2030,heatpump,all-year,all-week,early-peak,1.50000000000
3,heat,2040,2,R1,2030,gasboiler,all-year,all-week,early-peak,1.75000000000
3,heat,2040,3,R1,2030,heatpump,all-year,all-week,early-peak,1.75000000000
3,CO2f,2035,2,R1,2030,gasboiler,all-year,all-week,early-peak,97.06500000000
3,CO2f,2040,2,R1,2030,gasboiler,all-year,all-week,early-peak,113.24250000000
4,heat,2035,2,R1,2030,gasboiler,all-year,all-week,late-peak,3.00000000000
4,heat,2035,3,R1,2030,heatpump,all-year,all-week,late-peak,3.00000000000
4,heat,2040,2,R1,2030,gasboiler,all-year,all-week,late-peak,3.50000000000
4,heat,2040,3,R1,2030,heatpump,all-year,all-week,late-peak,3.50000000000
4,CO2f,2035,2,R1,2030,gasboiler,all-year,all-week,late-peak,194.13000000000
4,CO2f,2040,2,R1,2030,gasboiler,all-year,all-week,late-peak,226.48500000000
5,heat,2035,2,R1,2030,gasboiler,all-year,all-week,evening,2.00000000000
5,heat,2035,3,R1,2030,heatpump,all-year,all-week,evening,2.00000000000
5,heat,2040,2,R1,2030,gasboiler,all-year,all-week,evening,2.33330000000
5,heat,2040,3,R1,2030,heatpump,all-year,all-week,evening,2.33330000000
5,CO2f,2035,2,R1,2030,gasboiler,all-year,all-week,evening,129.42000000000
5,CO2f,2040,2,R1,2030,gasboiler,all-year,all-week,evening,150.99000000000
