timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2030,0,R1,gasboiler,2020,all-year,all-week,night,0.59830000000
0,heat,2030,2,R1,heatpump,2020,all-year,all-week,night,1.06840000000
0,heat,2035,1,R1,gasboiler,2030,all-year,all-week,night,1.00000000000
0,heat,2035,3,R1,heatpump,2030,all-year,all-week,night,1.00000000000
0,CO2f,2030,0,R1,gasboiler,2020,all-year,all-week,night,38.71540000000
0,CO2f,2035,1,R1,gasboiler,2030,all-year,all-week,night,64.71000000000
1,heat,2030,0,R1,gasboiler,2020,all-year,all-week,morning,0.89740000000
1,heat,2030,2,R1,heatpump,2020,all-year,all-week,morning,1.60260000000
1,heat,2035,1,R1,gasboiler,2030,all-year,all-week,morning,1.50000000000
1,heat,2035,3,R1,heatpump,2030,all-year,all-week,morning,1.50000000000
1,CO2f,2030,0,R1,gasboiler,2020,all-year,all-week,morning,58.07310000000
1,CO2f,2035,1,R1,gasboiler,2030,all-year,all-week,morning,97.06500000000
2,heat,2030,0,R1,gasboiler,2020,all-year,all-week,afternoon,0.59830000000
2,heat,2030,2,R1,heatpump,2020,all-year,all-week,afternoon,1.06840000000
2,heat,2035,1,R1,gasboiler,2030,all-year,all-week,afternoon,1.00000000000
2,heat,2035,3,R1,heatpump,2030,all-year,all-week,afternoon,1.00000000000
2,CO2f,2030,0,R1,gasboiler,2020,all-year,all-week,afternoon,38.71540000000
2,CO2f,2035,1,R1,gasboiler,2030,all-year,all-week,afternoon,64.71000000000
3,heat,2030,0,R1,gasboiler,2020,all-year,all-week,early-peak,0.89740000000
3,heat,2030,2,R1,heatpump,2020,all-year,all-week,early-peak,1.60260000000
3,heat,2035,1,R1,gasboiler,2030,all-year,all-week,early-peak,1.50000000000
3,heat,2035,3,R1,heatpump,2030,all-year,all-week,early-peak,1.50000000000
3,CO2f,2030,0,R1,gasboiler,2020,all-year,all-week,early-peak,58.07310000000
3,CO2f,2035,1,R1,gasboiler,2030,all-year,all-week,early-peak,97.06500000000
4,heat,2030,0,R1,gasboiler,2020,all-year,all-week,late-peak,1.79490000000
4,heat,2030,2,R1,heatpump,2020,all-year,all-week,late-peak,3.20510000000
4,heat,2035,1,R1,gasboiler,2030,all-year,all-week,late-peak,3.00000000000
4,heat,2035,3,R1,heatpump,2030,all-year,all-week,late-peak,3.00000000000
4,CO2f,2030,0,R1,gasboiler,2020,all-year,all-week,late-peak,116.14620000000
4,CO2f,2035,1,R1,gasboiler,2030,all-year,all-week,late-peak,194.13000000000
5,heat,2030,0,R1,gasboiler,2020,all-year,all-week,evening,1.19660000000
5,heat,2030,2,R1,heatpump,2020,all-year,all-week,evening,2.13680000000
5,heat,2035,1,R1,gasboiler,2030,all-year,all-week,evening,2.00000000000
5,heat,2035,3,R1,heatpump,2030,all-year,all-week,evening,2.00000000000
5,CO2f,2030,0,R1,gasboiler,2020,all-year,all-week,evening,77.43080000000
5,CO2f,2035,1,R1,gasboiler,2030,all-year,all-week,evening,129.42000000000
