asset,year,region,installed,technology,capacity
0,2030,R1,2020,gasboiler,56.00000000000
0,2034,R1,2020,gasboiler,56.00000000000
1,2030,R1,2020,heatpump,107.00000000000
1,2034,R1,2020,heatpump,107.00000000000
2,2035,R1,2030,gasboiler,50.00000000000
2,2040,R1,2030,gasboiler,50.00000000000
2,2044,R1,2030,gasboiler,50.00000000000
3,2035,R1,2030,heatpump,51.54600000000
3,2040,R1,2030,heatpump,51.54600000000
3,2044,R1,2030,heatpump,51.54600000000
