timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
4,CO2f,R1,2045,1,all-year,all-week,late-peak,gasboiler,2035,4.90720000000
4,CO2f,R2,2040,0,all-year,all-week,late-peak,gasboiler,2035,4.90720000000
4,CO2f,R2,2040,1,all-year,all-week,late-peak,gasboiler,2035,4.90720000000
4,CO2f,R2,2045,0,all-year,all-week,late-peak,gasboiler,2035,4.90720000000
4,CO2f,R2,2045,1,all-year,all-week,late-peak,gasboiler,2035,4.90720000000
5,heat,R1,2040,0,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R1,2040,1,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R1,2040,2,all-year,all-week,evening,heatpump,2030,1.38890000000
5,heat,R1,2040,3,all-year,all-week,evening,heatpump,2035,0.89390000000
5,heat,R1,2040,5,all-year,all-week,evening,heatpump,2030,1.38890000000
5,heat,R1,2040,6,all-year,all-week,evening,heatpump,2035,0.89390000000
5,heat,R1,2045,0,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R1,2045,1,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R1,2045,3,all-year,all-week,evening,heatpump,2035,0.89390000000
5,heat,R1,2045,4,all-year,all-week,evening,heatpump,2040,1.72220000000
5,heat,R1,2045,6,all-year,all-week,evening,heatpump,2035,0.89390000000
5,heat,R1,2045,7,all-year,all-week,evening,heatpump,2040,1.72220000000
5,heat,R2,2040,0,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R2,2040,1,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R2,2040,2,all-year,all-week,evening,heatpump,2030,1.38890000000
5,heat,R2,2040,3,all-year,all-week,evening,heatpump,2035,0.89390000000
5,heat,R2,2040,5,all-year,all-week,evening,heatpump,2030,1.38890000000
5,heat,R2,2040,6,all-year,all-week,evening,heatpump,2035,0.89390000000
5,heat,R2,2045,0,all-year,all-week,evening,gasboiler,2035,0.05060000000
5,heat,R2,2045,1,all-year,all-week,evening,gasboiler,2035,0.05060000000
