timeslice,commodity,region,year,asset,technology,installed,month,day,hour,supply
2,heat,R2,2035,5,heatpump,2030,all-year,all-week,afternoon,0.69440000000
2,heat,R2,2035,7,heatpump,2025,all-year,all-week,afternoon,0.19170000000
2,heat,R2,2035,8,heatpump,2030,all-year,all-week,afternoon,0.69440000000
2,heat,R2,2040,1,gasboiler,2035,all-year,all-week,afternoon,0.02530000000
2,heat,R2,2040,3,gasboiler,2035,all-year,all-week,afternoon,0.02530000000
2,heat,R2,2040,5,heatpump,2030,all-year,all-week,afternoon,0.69440000000
2,heat,R2,2040,6,heatpump,2035,all-year,all-week,afternoon,0.44690000000
2,heat,R2,2040,8,heatpump,2030,all-year,all-week,afternoon,0.69440000000
2,heat,R2,2040,9,heatpump,2035,all-year,all-week,afternoon,0.44690000000
2,CO2f,R1,2035,0,gasboiler,2025,all-year,all-week,afternoon,7.36970000000
2,CO2f,R1,2035,2,gasboiler,2025,all-year,all-week,afternoon,7.36970000000
2,CO2f,R1,2040,1,gasboiler,2035,all-year,all-week,afternoon,1.63570000000
2,CO2f,R1,2040,3,gasboiler,2035,all-year,all-week,afternoon,1.63570000000
2,CO2f,R2,2035,0,gasboiler,2025,all-year,all-week,afternoon,7.36970000000
2,CO2f,R2,2035,2,gasboiler,2025,all-year,all-week,afternoon,7.36970000000
2,CO2f,R2,2040,1,gasboiler,2035,all-year,all-week,afternoon,1.63570000000
2,CO2f,R2,2040,3,gasboiler,2035,all-year,all-week,afternoon,1.63570000000
3,heat,R1,2035,0,gasboiler,2025,all-year,all-week,early-peak,0.17080000000
3,heat,R1,2035,2,gasboiler,2025,all-year,all-week,early-peak,0.17080000000
3,heat,R1,2035,4,heatpump,2025,all-year,all-week,early-peak,0.28750000000
3,heat,R1,2035,5,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R1,2035,7,heatpump,2025,all-year,all-week,early-peak,0.28750000000
3,heat,R1,2035,8,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R1,2040,1,gasboiler,2035,all-year,all-week,early-peak,0.03790000000
3,heat,R1,2040,3,gasboiler,2035,all-year,all-week,early-peak,0.03790000000
3,heat,R1,2040,5,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R1,2040,6,heatpump,2035,all-year,all-week,early-peak,0.67040000000
3,heat,R1,2040,8,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R1,2040,9,heatpump,2035,all-year,all-week,early-peak,0.67040000000
3,heat,R2,2035,0,gasboiler,2025,all-year,all-week,early-peak,0.17080000000
3,heat,R2,2035,2,gasboiler,2025,all-year,all-week,early-peak,0.17080000000
3,heat,R2,2035,4,heatpump,2025,all-year,all-week,early-peak,0.28750000000
3,heat,R2,2035,5,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R2,2035,7,heatpump,2025,all-year,all-week,early-peak,0.28750000000
3,heat,R2,2035,8,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R2,2040,1,gasboiler,2035,all-year,all-week,early-peak,0.03790000000
3,heat,R2,2040,3,gasboiler,2035,all-year,all-week,early-peak,0.03790000000
3,heat,R2,2040,5,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R2,2040,6,heatpump,2035,all-year,all-week,early-peak,0.67040000000
3,heat,R2,2040,8,heatpump,2030,all-year,all-week,early-peak,1.04170000000
3,heat,R2,2040,9,heatpump,2035,all-year,all-week,early-peak,0.67040000000
3,CO2f,R1,2035,0,gasboiler,2025,all-year,all-week,early-peak,11.05460000000
3,CO2f,R1,2035,2,gasboiler,2025,all-year,all-week,early-peak,11.05460000000
3,CO2f,R1,2040,1,gasboiler,2035,all-year,all-week,early-peak,2.45360000000
3,CO2f,R1,2040,3,gasboiler,2035,all-year,all-week,early-peak,2.45360000000
3,CO2f,R2,2035,0,gasboiler,2025,all-year,all-week,early-peak,11.05460000000
3,CO2f,R2,2035,2,gasboiler,2025,all-year,all-week,early-peak,11.05460000000
3,CO2f,R2,2040,1,gasboiler,2035,all-year,all-week,early-peak,2.45360000000
3,CO2f,R2,2040,3,gasboiler,2035,all-year,all-week,early-peak,2.45360000000
4,heat,R1,2035,0,gasboiler,2025,all-year,all-week,late-peak,0.34170000000
4,heat,R1,2035,2,gasboiler,2025,all-year,all-week,late-peak,0.34170000000
4,heat,R1,2035,4,heatpump,2025,all-year,all-week,late-peak,0.57500000000
4,heat,R1,2035,5,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R1,2035,7,heatpump,2025,all-year,all-week,late-peak,0.57500000000
4,heat,R1,2035,8,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R1,2040,1,gasboiler,2035,all-year,all-week,late-peak,0.07580000000
4,heat,R1,2040,3,gasboiler,2035,all-year,all-week,late-peak,0.07580000000
4,heat,R1,2040,5,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R1,2040,6,heatpump,2035,all-year,all-week,late-peak,1.34080000000
4,heat,R1,2040,8,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R1,2040,9,heatpump,2035,all-year,all-week,late-peak,1.34080000000
4,heat,R2,2035,0,gasboiler,2025,all-year,all-week,late-peak,0.34170000000
4,heat,R2,2035,2,gasboiler,2025,all-year,all-week,late-peak,0.34170000000
4,heat,R2,2035,4,heatpump,2025,all-year,all-week,late-peak,0.57500000000
4,heat,R2,2035,5,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R2,2035,7,heatpump,2025,all-year,all-week,late-peak,0.57500000000
4,heat,R2,2035,8,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R2,2040,1,gasboiler,2035,all-year,all-week,late-peak,0.07580000000
4,heat,R2,2040,3,gasboiler,2035,all-year,all-week,late-peak,0.07580000000
4,heat,R2,2040,5,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R2,2040,6,heatpump,2035,all-year,all-week,late-peak,1.34080000000
4,heat,R2,2040,8,heatpump,2030,all-year,all-week,late-peak,2.08330000000
4,heat,R2,2040,9,heatpump,2035,all-year,all-week,late-peak,1.34080000000
4,CO2f,R1,2035,0,gasboiler,2025,all-year,all-week,late-peak,22.10920000000
4,CO2f,R1,2035,2,gasboiler,2025,all-year,all-week,late-peak,22.10920000000
4,CO2f,R1,2040,1,gasboiler,2035,all-year,all-week,late-peak,4.90720000000
4,CO2f,R1,2040,3,gasboiler,2035,all-year,all-week,late-peak,4.90720000000
4,CO2f,R2,2035,0,gasboiler,2025,all-year,all-week,late-peak,22.10920000000
4,CO2f,R2,2035,2,gasboiler,2025,all-year,all-week,late-peak,22.10920000000
4,CO2f,R2,2040,1,gasboiler,2035,all-year,all-week,late-peak,4.90720000000
4,CO2f,R2,2040,3,gasboiler,2035,all-year,all-week,late-peak,4.90720000000
5,heat,R1,2035,0,gasboiler,2025,all-year,all-week,evening,0.22780000000
5,heat,R1,2035,2,gasboiler,2025,all-year,all-week,evening,0.22780000000
5,heat,R1,2035,4,heatpump,2025,all-year,all-week,evening,0.38330000000
5,heat,R1,2035,5,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R1,2035,7,heatpump,2025,all-year,all-week,evening,0.38330000000
5,heat,R1,2035,8,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R1,2040,1,gasboiler,2035,all-year,all-week,evening,0.05060000000
5,heat,R1,2040,3,gasboiler,2035,all-year,all-week,evening,0.05060000000
5,heat,R1,2040,5,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R1,2040,6,heatpump,2035,all-year,all-week,evening,0.89390000000
5,heat,R1,2040,8,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R1,2040,9,heatpump,2035,all-year,all-week,evening,0.89390000000
5,heat,R2,2035,0,gasboiler,2025,all-year,all-week,evening,0.22780000000
5,heat,R2,2035,2,gasboiler,2025,all-year,all-week,evening,0.22780000000
5,heat,R2,2035,4,heatpump,2025,all-year,all-week,evening,0.38330000000
5,heat,R2,2035,5,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R2,2035,7,heatpump,2025,all-year,all-week,evening,0.38330000000
5,heat,R2,2035,8,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R2,2040,1,gasboiler,2035,all-year,all-week,evening,0.05060000000
5,heat,R2,2040,3,gasboiler,2035,all-year,all-week,evening,0.05060000000
5,heat,R2,2040,5,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R2,2040,6,heatpump,2035,all-year,all-week,evening,0.89390000000
5,heat,R2,2040,8,heatpump,2030,all-year,all-week,evening,1.38890000000
5,heat,R2,2040,9,heatpump,2035,all-year,all-week,evening,0.89390000000
5,CO2f,R1,2035,0,gasboiler,2025,all-year,all-week,evening,14.73950000000
5,CO2f,R1,2035,2,gasboiler,2025,all-year,all-week,evening,14.73950000000
5,CO2f,R1,2040,1,gasboiler,2035,all-year,all-week,evening,3.27140000000
5,CO2f,R1,2040,3,gasboiler,2035,all-year,all-week,evening,3.27140000000
5,CO2f,R2,2035,0,gasboiler,2025,all-year,all-week,evening,14.73950000000
5,CO2f,R2,2035,2,gasboiler,2025,all-year,all-week,evening,14.73950000000
5,CO2f,R2,2040,1,gasboiler,2035,all-year,all-week,evening,3.27140000000
5,CO2f,R2,2040,3,gasboiler,2035,all-year,all-week,evening,3.27140000000
