,asset,year,region,installed,technology,capacity
18,1,2050,R1,2025,gassupply1,0.34560000000
19,1,2055,R1,2025,gassupply1,0.34560000000
20,1,2064,R1,2025,gassupply1,0.34560000000
30,2,2050,R1,2030,gassupply1,7.50000000000
31,2,2055,R1,2030,gassupply1,7.50000000000
32,2,2064,R1,2030,gassupply1,7.50000000000
33,2,2065,R1,2030,gassupply1,7.50000000000
34,2,2069,R1,2030,gassupply1,7.50000000000
54,4,2050,R2,2025,gassupply1,0.34560000000
55,4,2055,R2,2025,gassupply1,0.34560000000
56,4,2064,R2,2025,gassupply1,0.34560000000
66,5,2050,R2,2030,gassupply1,7.50000000000
67,5,2055,R2,2030,gassupply1,7.50000000000
68,5,2064,R2,2030,gassupply1,7.50000000000
69,5,2065,R2,2030,gassupply1,7.50000000000
70,5,2069,R2,2030,gassupply1,7.50000000000
