,year,dst_region,asset,region,technology,installed,capacity
0,2035,R1,0,R1,gasCCGT,2010,122.88000000000
3,2035,R2,1,R2,gasCCGT,2010,68.60000000000
4,2040,R1,0,R1,gasCCGT,2010,98.30400000000
7,2040,R2,1,R2,gasCCGT,2010,48.02000000000
8,2045,R1,0,R1,gasCCGT,2010,78.64320000000
11,2045,R2,1,R2,gasCCGT,2010,33.61400000000
12,2050,R1,0,R1,gasCCGT,2010,62.91460000000
15,2050,R2,1,R2,gasCCGT,2010,23.52980000000
