commodity,day,hour,month,prices,region,timeslice,units_prices,year
CO2f,all-week,early-peak,all-year,0.3539,r1,3,MUS$2010/kt,2045
solar,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2045
electricity,all-week,late-peak,all-year,25.9280,r1,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,12.9686,r1,4,MUS$2010/PJ,2045
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,0.3539,r1,4,MUS$2010/kt,2045
solar,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2045
electricity,all-week,evening,all-year,16.3987,r1,5,MUS$2010/PJ,2045
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,9.1569,r1,5,MUS$2010/PJ,2045
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2045
CO2f,all-week,evening,all-year,0.3539,r1,5,MUS$2010/kt,2045
solar,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2045
electricity,all-week,night,all-year,8.2626,r1,0,MUS$2010/PJ,2050
gas,all-week,night,all-year,2.5500,r1,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,5.9025,r1,0,MUS$2010/PJ,2050
wind,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2050
CO2f,all-week,night,all-year,0.4351,r1,0,MUS$2010/kt,2050
solar,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2050
electricity,all-week,morning,all-year,11.5032,r1,1,MUS$2010/PJ,2050
gas,all-week,morning,all-year,2.5500,r1,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,7.1987,r1,1,MUS$2010/PJ,2050
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2050
CO2f,all-week,morning,all-year,0.4351,r1,1,MUS$2010/kt,2050
solar,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2050
electricity,all-week,afternoon,all-year,8.2626,r1,2,MUS$2010/PJ,2050
gas,all-week,afternoon,all-year,2.5500,r1,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,5.9025,r1,2,MUS$2010/PJ,2050
wind,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2050
CO2f,all-week,afternoon,all-year,0.4351,r1,2,MUS$2010/kt,2050
solar,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2050
electricity,all-week,early-peak,all-year,11.5032,r1,3,MUS$2010/PJ,2050
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,7.1987,r1,3,MUS$2010/PJ,2050
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2050
CO2f,all-week,early-peak,all-year,0.4351,r1,3,MUS$2010/kt,2050
solar,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2050
electricity,all-week,late-peak,all-year,28.1977,r1,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,13.8765,r1,4,MUS$2010/PJ,2050
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,0.4351,r1,4,MUS$2010/kt,2050
solar,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2050
electricity,all-week,evening,all-year,17.1528,r1,5,MUS$2010/PJ,2050
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,9.4585,r1,5,MUS$2010/PJ,2050
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2050
CO2f,all-week,evening,all-year,0.4351,r1,5,MUS$2010/kt,2050
solar,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2050
