asset,year,dst_region,region,technology,installed,capacity
0,2030,R1,R1,gassupply1,2010,2100.00000000000
0,2030,R3,R1,gassupply1,2010,621.55520000000
0,2035,R1,R1,gassupply1,2010,1470.00000000000
0,2035,R3,R1,gassupply1,2010,497.24410000000
0,2040,R1,R1,gassupply1,2010,1470.00000000000
0,2040,R3,R1,gassupply1,2010,497.24410000000
0,2050,R1,R1,gassupply1,2010,1029.00000000000
0,2050,R3,R1,gassupply1,2010,372.93310000000
1,2030,R1,R1,gassupply1,2020,526.06730000000
1,2035,R1,R1,gassupply1,2020,526.06730000000
1,2040,R1,R1,gassupply1,2020,526.06730000000
1,2050,R1,R1,gassupply1,2020,526.06730000000
1,2059,R1,R1,gassupply1,2020,526.06730000000
2,2030,R1,R1,gassupply1,2025,186.50040000000
2,2035,R1,R1,gassupply1,2025,186.50040000000
2,2040,R1,R1,gassupply1,2025,186.50040000000
2,2050,R1,R1,gassupply1,2025,186.50040000000
2,2059,R1,R1,gassupply1,2025,186.50040000000
2,2060,R1,R1,gassupply1,2025,186.50040000000
2,2064,R1,R1,gassupply1,2025,186.50040000000
3,2035,R1,R1,gassupply1,2030,555.60700000000
3,2040,R1,R1,gassupply1,2030,555.60700000000
3,2050,R1,R1,gassupply1,2030,555.60700000000
3,2059,R1,R1,gassupply1,2030,555.60700000000
3,2060,R1,R1,gassupply1,2030,555.60700000000
3,2064,R1,R1,gassupply1,2030,555.60700000000
3,2065,R1,R1,gassupply1,2030,555.60700000000
3,2069,R1,R1,gassupply1,2030,555.60700000000
4,2030,R2,R2,gassupply1,2010,700.00000000000
4,2030,R3,R2,gassupply1,2010,843.47000000000
4,2035,R2,R2,gassupply1,2010,490.00000000000
4,2035,R3,R2,gassupply1,2010,674.77600000000
4,2040,R2,R2,gassupply1,2010,490.00000000000
4,2040,R3,R2,gassupply1,2010,674.77600000000
4,2050,R2,R2,gassupply1,2010,343.00000000000
4,2050,R3,R2,gassupply1,2010,506.08200000000
5,2030,R1,R3,gassupply1,2010,75.00000000000
5,2030,R2,R3,gassupply1,2010,0.62360000000
5,2030,R3,R3,gassupply1,2010,7000.00000000000
5,2035,R1,R3,gassupply1,2010,75.00000000000
5,2035,R2,R3,gassupply1,2010,0.49890000000
5,2035,R3,R3,gassupply1,2010,4900.00000000000
5,2040,R1,R3,gassupply1,2010,75.00000000000
5,2040,R2,R3,gassupply1,2010,0.49890000000
5,2040,R3,R3,gassupply1,2010,4900.00000000000
5,2050,R1,R3,gassupply1,2010,75.00000000000
5,2050,R2,R3,gassupply1,2010,0.37420000000
5,2050,R3,R3,gassupply1,2010,3430.00000000000
6,2030,R1,R3,gassupply1,2020,0.00030000000
6,2035,R1,R3,gassupply1,2020,0.00030000000
6,2040,R1,R3,gassupply1,2020,0.00030000000
6,2050,R1,R3,gassupply1,2020,0.00030000000
6,2059,R1,R3,gassupply1,2020,0.00030000000
7,2035,R1,R3,gassupply1,2030,0.00050000000
7,2035,R3,R3,gassupply1,2030,1085.05860000000
7,2040,R1,R3,gassupply1,2030,0.00050000000
7,2040,R3,R3,gassupply1,2030,1085.05860000000
7,2050,R1,R3,gassupply1,2030,0.00050000000
7,2050,R3,R3,gassupply1,2030,1085.05860000000
7,2059,R1,R3,gassupply1,2030,0.00050000000
7,2059,R3,R3,gassupply1,2030,1085.05860000000
7,2060,R1,R3,gassupply1,2030,0.00050000000
7,2060,R3,R3,gassupply1,2030,1085.05860000000
7,2069,R1,R3,gassupply1,2030,0.00050000000
7,2069,R3,R3,gassupply1,2030,1085.05860000000
