timeslice,commodity,region,year,asset,installed,technology,month,day,hour,supply
0,heat,R1,2050,2,2040,heatpump,all-year,all-week,night,0.86110000000
0,heat,R1,2050,3,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R1,2050,7,2040,heatpump,all-year,all-week,night,0.86110000000
0,heat,R1,2050,8,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R1,2055,3,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R1,2055,4,2050,heatpump,all-year,all-week,night,0.86110000000
0,heat,R1,2055,8,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R1,2055,9,2050,heatpump,all-year,all-week,night,0.86110000000
0,heat,R2,2050,2,2040,heatpump,all-year,all-week,night,0.86110000000
0,heat,R2,2050,3,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R2,2050,7,2040,heatpump,all-year,all-week,night,0.86110000000
0,heat,R2,2050,8,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R2,2055,3,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R2,2055,4,2050,heatpump,all-year,all-week,night,0.86110000000
0,heat,R2,2055,8,2045,heatpump,all-year,all-week,night,0.63890000000
0,heat,R2,2055,9,2050,heatpump,all-year,all-week,night,0.86110000000
1,heat,R1,2050,2,2040,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R1,2050,3,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R1,2050,7,2040,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R1,2050,8,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R1,2055,3,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R1,2055,4,2050,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R1,2055,8,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R1,2055,9,2050,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R2,2050,2,2040,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R2,2050,3,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R2,2050,7,2040,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R2,2050,8,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R2,2055,3,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R2,2055,4,2050,heatpump,all-year,all-week,morning,1.29170000000
1,heat,R2,2055,8,2045,heatpump,all-year,all-week,morning,0.95830000000
1,heat,R2,2055,9,2050,heatpump,all-year,all-week,morning,1.29170000000
2,heat,R1,2050,2,2040,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R1,2050,3,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R1,2050,7,2040,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R1,2050,8,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R1,2055,3,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R1,2055,4,2050,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R1,2055,8,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R1,2055,9,2050,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R2,2050,2,2040,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R2,2050,3,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R2,2050,7,2040,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R2,2050,8,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R2,2055,3,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R2,2055,4,2050,heatpump,all-year,all-week,afternoon,0.86110000000
2,heat,R2,2055,8,2045,heatpump,all-year,all-week,afternoon,0.63890000000
2,heat,R2,2055,9,2050,heatpump,all-year,all-week,afternoon,0.86110000000
3,heat,R1,2050,2,2040,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R1,2050,3,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R1,2050,7,2040,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R1,2050,8,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R1,2055,3,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R1,2055,4,2050,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R1,2055,8,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R1,2055,9,2050,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R2,2050,2,2040,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R2,2050,3,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R2,2050,7,2040,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R2,2050,8,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R2,2055,3,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R2,2055,4,2050,heatpump,all-year,all-week,early-peak,1.29170000000
3,heat,R2,2055,8,2045,heatpump,all-year,all-week,early-peak,0.95830000000
3,heat,R2,2055,9,2050,heatpump,all-year,all-week,early-peak,1.29170000000
4,heat,R1,2050,2,2040,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R1,2050,3,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R1,2050,7,2040,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R1,2050,8,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R1,2055,3,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R1,2055,4,2050,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R1,2055,8,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R1,2055,9,2050,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R2,2050,2,2040,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R2,2050,3,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R2,2050,7,2040,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R2,2050,8,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R2,2055,3,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R2,2055,4,2050,heatpump,all-year,all-week,late-peak,2.58330000000
4,heat,R2,2055,8,2045,heatpump,all-year,all-week,late-peak,1.91670000000
4,heat,R2,2055,9,2050,heatpump,all-year,all-week,late-peak,2.58330000000
5,heat,R1,2050,2,2040,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R1,2050,3,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R1,2050,7,2040,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R1,2050,8,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R1,2055,3,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R1,2055,4,2050,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R1,2055,8,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R1,2055,9,2050,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R2,2050,2,2040,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R2,2050,3,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R2,2050,7,2040,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R2,2050,8,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R2,2055,3,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R2,2055,4,2050,heatpump,all-year,all-week,evening,1.72220000000
5,heat,R2,2055,8,2045,heatpump,all-year,all-week,evening,1.27780000000
5,heat,R2,2055,9,2050,heatpump,all-year,all-week,evening,1.72220000000
