month,day,hour,technology,installed,supply
all-year,all-week,mid-afternoon,heatpump,2034,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16850000000
all-year,all-week,mid-afternoon,heatpump,2040,0.31590000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,late-peak,heatpump,2030,0.81670000000
all-year,all-week,late-peak,heatpump,2032,0.37690000000
all-year,all-week,late-peak,heatpump,2034,0.37690000000
all-year,all-week,late-peak,heatpump,2036,0.37690000000
all-year,all-week,late-peak,heatpump,2038,0.50260000000
all-year,all-week,late-peak,heatpump,2030,0.81670000000
all-year,all-week,late-peak,heatpump,2032,0.37690000000
all-year,all-week,late-peak,heatpump,2034,0.37690000000
all-year,all-week,late-peak,heatpump,2036,0.37690000000
all-year,all-week,late-peak,heatpump,2038,0.50260000000
all-year,all-week,late-peak,heatpump,2032,0.37900000000
all-year,all-week,late-peak,heatpump,2034,0.37900000000
all-year,all-week,late-peak,heatpump,2036,0.37900000000
all-year,all-week,late-peak,heatpump,2038,0.50540000000
all-year,all-week,late-peak,heatpump,2040,0.94760000000
all-year,all-week,late-peak,heatpump,2032,0.37900000000
all-year,all-week,late-peak,heatpump,2034,0.37900000000
all-year,all-week,late-peak,heatpump,2036,0.37900000000
all-year,all-week,late-peak,heatpump,2038,0.50540000000
all-year,all-week,late-peak,heatpump,2040,0.94760000000
all-year,all-week,late-peak,heatpump,2030,0.81670000000
all-year,all-week,late-peak,heatpump,2032,0.37690000000
all-year,all-week,late-peak,heatpump,2034,0.37690000000
all-year,all-week,late-peak,heatpump,2036,0.37690000000
all-year,all-week,late-peak,heatpump,2038,0.50260000000
all-year,all-week,late-peak,heatpump,2030,0.81670000000
all-year,all-week,late-peak,heatpump,2032,0.37690000000
all-year,all-week,late-peak,heatpump,2034,0.37690000000
all-year,all-week,late-peak,heatpump,2036,0.37690000000
all-year,all-week,late-peak,heatpump,2038,0.50260000000
all-year,all-week,late-peak,heatpump,2032,0.37900000000
all-year,all-week,late-peak,heatpump,2034,0.37900000000
all-year,all-week,late-peak,heatpump,2036,0.37900000000
all-year,all-week,late-peak,heatpump,2038,0.50540000000
all-year,all-week,late-peak,heatpump,2040,0.94760000000
all-year,all-week,late-peak,heatpump,2032,0.37900000000
all-year,all-week,late-peak,heatpump,2034,0.37900000000
all-year,all-week,late-peak,heatpump,2036,0.37900000000
all-year,all-week,late-peak,heatpump,2038,0.50540000000
all-year,all-week,late-peak,heatpump,2040,0.94760000000
all-year,all-week,evening,heatpump,2030,0.54440000000
all-year,all-week,evening,heatpump,2032,0.25130000000
all-year,all-week,evening,heatpump,2034,0.25130000000
all-year,all-week,evening,heatpump,2036,0.25130000000
all-year,all-week,evening,heatpump,2038,0.33500000000
all-year,all-week,evening,heatpump,2030,0.54440000000
all-year,all-week,evening,heatpump,2032,0.25130000000
all-year,all-week,evening,heatpump,2034,0.25130000000
all-year,all-week,evening,heatpump,2036,0.25130000000
all-year,all-week,evening,heatpump,2038,0.33500000000
all-year,all-week,evening,heatpump,2032,0.25270000000
all-year,all-week,evening,heatpump,2034,0.25270000000
all-year,all-week,evening,heatpump,2036,0.25270000000
all-year,all-week,evening,heatpump,2038,0.33690000000
all-year,all-week,evening,heatpump,2040,0.63170000000
all-year,all-week,evening,heatpump,2032,0.25270000000
all-year,all-week,evening,heatpump,2034,0.25270000000
all-year,all-week,evening,heatpump,2036,0.25270000000
all-year,all-week,evening,heatpump,2038,0.33690000000
all-year,all-week,evening,heatpump,2040,0.63170000000
all-year,all-week,evening,heatpump,2030,0.54440000000
all-year,all-week,evening,heatpump,2032,0.25130000000
all-year,all-week,evening,heatpump,2034,0.25130000000
all-year,all-week,evening,heatpump,2036,0.25130000000
all-year,all-week,evening,heatpump,2038,0.33500000000
all-year,all-week,evening,heatpump,2030,0.54440000000
all-year,all-week,evening,heatpump,2032,0.25130000000
all-year,all-week,evening,heatpump,2034,0.25130000000
all-year,all-week,evening,heatpump,2036,0.25130000000
all-year,all-week,evening,heatpump,2038,0.33500000000
all-year,all-week,evening,heatpump,2032,0.25270000000
all-year,all-week,evening,heatpump,2034,0.25270000000
all-year,all-week,evening,heatpump,2036,0.25270000000
all-year,all-week,evening,heatpump,2038,0.33690000000
all-year,all-week,evening,heatpump,2040,0.63170000000
all-year,all-week,evening,heatpump,2032,0.25270000000
all-year,all-week,evening,heatpump,2034,0.25270000000
all-year,all-week,evening,heatpump,2036,0.25270000000
all-year,all-week,evening,heatpump,2038,0.33690000000
all-year,all-week,evening,heatpump,2040,0.63170000000
all-year,all-week,early-morning,heatpump,2030,0.54440000000
all-year,all-week,early-morning,heatpump,2032,0.25130000000
all-year,all-week,early-morning,heatpump,2034,0.25130000000
all-year,all-week,early-morning,heatpump,2036,0.25130000000
all-year,all-week,early-morning,heatpump,2038,0.33500000000
all-year,all-week,early-morning,heatpump,2030,0.54440000000
all-year,all-week,early-morning,heatpump,2032,0.25130000000
all-year,all-week,early-morning,heatpump,2034,0.25130000000
all-year,all-week,early-morning,heatpump,2036,0.25130000000
all-year,all-week,early-morning,heatpump,2038,0.33500000000
all-year,all-week,early-morning,heatpump,2032,0.25270000000
all-year,all-week,early-morning,heatpump,2034,0.25270000000
all-year,all-week,early-morning,heatpump,2036,0.25270000000
all-year,all-week,early-morning,heatpump,2038,0.33690000000
all-year,all-week,early-morning,heatpump,2040,0.63170000000
all-year,all-week,early-morning,heatpump,2032,0.25270000000
all-year,all-week,early-morning,heatpump,2034,0.25270000000
all-year,all-week,early-morning,heatpump,2036,0.25270000000
all-year,all-week,early-morning,heatpump,2038,0.33690000000
all-year,all-week,early-morning,heatpump,2040,0.63170000000
all-year,all-week,early-morning,heatpump,2030,0.54440000000
all-year,all-week,early-morning,heatpump,2032,0.25130000000
all-year,all-week,early-morning,heatpump,2034,0.25130000000
all-year,all-week,early-morning,heatpump,2036,0.25130000000
