timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
2,heat,R1,2026,3,all-year,all-week,mid-afternoon,gasboiler,2024,0.04840000000
2,heat,R1,2026,4,all-year,all-week,mid-afternoon,heatpump,2020,0.30050000000
2,heat,R1,2026,5,all-year,all-week,mid-afternoon,heatpump,2022,0.04760000000
2,heat,R1,2026,6,all-year,all-week,mid-afternoon,heatpump,2024,0.10330000000
2,heat,R1,2026,7,all-year,all-week,mid-afternoon,heatpump,2020,0.30050000000
2,heat,R1,2026,8,all-year,all-week,mid-afternoon,heatpump,2022,0.04760000000
2,heat,R1,2026,9,all-year,all-week,mid-afternoon,heatpump,2024,0.10330000000
2,heat,R2,2024,0,all-year,all-week,mid-afternoon,gasboiler,2020,0.10410000000
2,heat,R2,2024,2,all-year,all-week,mid-afternoon,gasboiler,2020,0.10410000000
2,heat,R2,2024,4,all-year,all-week,mid-afternoon,heatpump,2020,0.30050000000
2,heat,R2,2024,5,all-year,all-week,mid-afternoon,heatpump,2022,0.04760000000
2,heat,R2,2024,7,all-year,all-week,mid-afternoon,heatpump,2020,0.30050000000
2,heat,R2,2024,8,all-year,all-week,mid-afternoon,heatpump,2022,0.04760000000
2,heat,R2,2026,1,all-year,all-week,mid-afternoon,gasboiler,2024,0.04840000000
2,heat,R2,2026,3,all-year,all-week,mid-afternoon,gasboiler,2024,0.04840000000
2,heat,R2,2026,4,all-year,all-week,mid-afternoon,heatpump,2020,0.30050000000
2,heat,R2,2026,5,all-year,all-week,mid-afternoon,heatpump,2022,0.04760000000
2,heat,R2,2026,6,all-year,all-week,mid-afternoon,heatpump,2024,0.10330000000
2,heat,R2,2026,7,all-year,all-week,mid-afternoon,heatpump,2020,0.30050000000
2,heat,R2,2026,8,all-year,all-week,mid-afternoon,heatpump,2022,0.04760000000
2,heat,R2,2026,9,all-year,all-week,mid-afternoon,heatpump,2024,0.10330000000
2,CO2f,R1,2024,0,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R1,2024,2,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R1,2026,1,all-year,all-week,mid-afternoon,gasboiler,2024,3.13360000000
2,CO2f,R1,2026,3,all-year,all-week,mid-afternoon,gasboiler,2024,3.13360000000
2,CO2f,R2,2024,0,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R2,2024,2,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R2,2026,1,all-year,all-week,mid-afternoon,gasboiler,2024,3.13360000000
2,CO2f,R2,2026,3,all-year,all-week,mid-afternoon,gasboiler,2024,3.13360000000
3,heat,R1,2024,0,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R1,2024,2,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R1,2024,4,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R1,2024,5,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R1,2024,7,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R1,2024,8,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R1,2026,1,all-year,all-week,early-peak,gasboiler,2024,0.07260000000
3,heat,R1,2026,3,all-year,all-week,early-peak,gasboiler,2024,0.07260000000
3,heat,R1,2026,4,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R1,2026,5,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R1,2026,6,all-year,all-week,early-peak,heatpump,2024,0.15490000000
3,heat,R1,2026,7,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R1,2026,8,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R1,2026,9,all-year,all-week,early-peak,heatpump,2024,0.15490000000
3,heat,R2,2024,0,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R2,2024,2,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R2,2024,4,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R2,2024,5,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R2,2024,7,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R2,2024,8,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R2,2026,1,all-year,all-week,early-peak,gasboiler,2024,0.07260000000
3,heat,R2,2026,3,all-year,all-week,early-peak,gasboiler,2024,0.07260000000
3,heat,R2,2026,4,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R2,2026,5,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R2,2026,6,all-year,all-week,early-peak,heatpump,2024,0.15490000000
3,heat,R2,2026,7,all-year,all-week,early-peak,heatpump,2020,0.45070000000
3,heat,R2,2026,8,all-year,all-week,early-peak,heatpump,2022,0.07140000000
3,heat,R2,2026,9,all-year,all-week,early-peak,heatpump,2024,0.15490000000
3,CO2f,R1,2024,0,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R1,2024,2,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R1,2026,1,all-year,all-week,early-peak,gasboiler,2024,4.70040000000
3,CO2f,R1,2026,3,all-year,all-week,early-peak,gasboiler,2024,4.70040000000
3,CO2f,R2,2024,0,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R2,2024,2,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R2,2026,1,all-year,all-week,early-peak,gasboiler,2024,4.70040000000
3,CO2f,R2,2026,3,all-year,all-week,early-peak,gasboiler,2024,4.70040000000
4,heat,R1,2024,0,all-year,all-week,late-peak,gasboiler,2020,0.31250000000
4,heat,R1,2024,2,all-year,all-week,late-peak,gasboiler,2020,0.31250000000
4,heat,R1,2024,4,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R1,2024,5,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R1,2024,7,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R1,2024,8,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R1,2026,1,all-year,all-week,late-peak,gasboiler,2024,0.14530000000
4,heat,R1,2026,3,all-year,all-week,late-peak,gasboiler,2024,0.14530000000
4,heat,R1,2026,4,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R1,2026,5,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R1,2026,6,all-year,all-week,late-peak,heatpump,2024,0.31000000000
4,heat,R1,2026,7,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R1,2026,8,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R1,2026,9,all-year,all-week,late-peak,heatpump,2024,0.31000000000
4,heat,R2,2024,0,all-year,all-week,late-peak,gasboiler,2020,0.31250000000
4,heat,R2,2024,2,all-year,all-week,late-peak,gasboiler,2020,0.31250000000
4,heat,R2,2024,4,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R2,2024,5,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R2,2024,7,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R2,2024,8,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R2,2026,1,all-year,all-week,late-peak,gasboiler,2024,0.14530000000
4,heat,R2,2026,3,all-year,all-week,late-peak,gasboiler,2024,0.14530000000
4,heat,R2,2026,4,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R2,2026,5,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R2,2026,6,all-year,all-week,late-peak,heatpump,2024,0.31000000000
4,heat,R2,2026,7,all-year,all-week,late-peak,heatpump,2020,0.90190000000
4,heat,R2,2026,8,all-year,all-week,late-peak,heatpump,2022,0.14290000000
4,heat,R2,2026,9,all-year,all-week,late-peak,heatpump,2024,0.31000000000
4,CO2f,R1,2024,0,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R1,2024,2,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R1,2026,1,all-year,all-week,late-peak,gasboiler,2024,9.40510000000
4,CO2f,R1,2026,3,all-year,all-week,late-peak,gasboiler,2024,9.40510000000
4,CO2f,R2,2024,0,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R2,2024,2,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R2,2026,1,all-year,all-week,late-peak,gasboiler,2024,9.40510000000
4,CO2f,R2,2026,3,all-year,all-week,late-peak,gasboiler,2024,9.40510000000
5,heat,R1,2024,0,all-year,all-week,evening,gasboiler,2020,0.20840000000
5,heat,R1,2024,2,all-year,all-week,evening,gasboiler,2020,0.20840000000
5,heat,R1,2024,4,all-year,all-week,evening,heatpump,2020,0.60140000000
5,heat,R1,2024,5,all-year,all-week,evening,heatpump,2022,0.09530000000
5,heat,R1,2024,7,all-year,all-week,evening,heatpump,2020,0.60140000000
5,heat,R1,2024,8,all-year,all-week,evening,heatpump,2022,0.09530000000
5,heat,R1,2026,1,all-year,all-week,evening,gasboiler,2024,0.09690000000
5,heat,R1,2026,3,all-year,all-week,evening,gasboiler,2024,0.09690000000
5,heat,R1,2026,4,all-year,all-week,evening,heatpump,2020,0.60140000000
5,heat,R1,2026,5,all-year,all-week,evening,heatpump,2022,0.09530000000
5,heat,R1,2026,6,all-year,all-week,evening,heatpump,2024,0.20670000000
5,heat,R1,2026,7,all-year,all-week,evening,heatpump,2020,0.60140000000
5,heat,R1,2026,8,all-year,all-week,evening,heatpump,2022,0.09530000000
5,heat,R1,2026,9,all-year,all-week,evening,heatpump,2024,0.20670000000
5,heat,R2,2024,0,all-year,all-week,evening,gasboiler,2020,0.20840000000
5,heat,R2,2024,2,all-year,all-week,evening,gasboiler,2020,0.20840000000
5,heat,R2,2024,4,all-year,all-week,evening,heatpump,2020,0.60140000000
