timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2022,0,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R1,2022,2,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R1,2022,4,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R1,2022,6,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R1,2024,0,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R1,2024,1,all-year,all-week,night,gasboiler,2022,0.01160000000
0,heat,R1,2024,2,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R1,2024,3,all-year,all-week,night,heatpump,2022,0.03510000000
0,heat,R1,2024,4,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R1,2024,5,all-year,all-week,night,gasboiler,2022,0.01160000000
0,heat,R1,2024,6,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R1,2024,7,all-year,all-week,night,heatpump,2022,0.03510000000
0,heat,R2,2022,0,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R2,2022,2,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R2,2022,4,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R2,2022,6,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R2,2024,0,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R2,2024,1,all-year,all-week,night,gasboiler,2022,0.01160000000
0,heat,R2,2024,2,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R2,2024,3,all-year,all-week,night,heatpump,2022,0.03510000000
0,heat,R2,2024,4,all-year,all-week,night,gasboiler,2020,0.10420000000
0,heat,R2,2024,5,all-year,all-week,night,gasboiler,2022,0.01160000000
0,heat,R2,2024,6,all-year,all-week,night,heatpump,2020,0.29250000000
0,heat,R2,2024,7,all-year,all-week,night,heatpump,2022,0.03510000000
0,CO2f,R1,2022,0,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R1,2022,4,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R1,2024,0,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R1,2024,1,all-year,all-week,night,gasboiler,2022,0.74850000000
0,CO2f,R1,2024,4,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R1,2024,5,all-year,all-week,night,gasboiler,2022,0.74850000000
0,CO2f,R2,2022,0,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R2,2022,4,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R2,2024,0,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R2,2024,1,all-year,all-week,night,gasboiler,2022,0.74850000000
0,CO2f,R2,2024,4,all-year,all-week,night,gasboiler,2020,6.74060000000
0,CO2f,R2,2024,5,all-year,all-week,night,gasboiler,2022,0.74850000000
1,heat,R1,2022,0,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R1,2022,2,all-year,all-week,morning,heatpump,2020,0.41790000000
1,heat,R1,2022,4,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R1,2022,6,all-year,all-week,morning,heatpump,2020,0.41790000000
1,heat,R1,2024,0,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R1,2024,1,all-year,all-week,morning,gasboiler,2022,0.01650000000
1,heat,R1,2024,2,all-year,all-week,morning,heatpump,2020,0.41790000000
1,heat,R1,2024,3,all-year,all-week,morning,heatpump,2022,0.05010000000
1,heat,R1,2024,4,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R1,2024,5,all-year,all-week,morning,gasboiler,2022,0.01650000000
1,heat,R1,2024,6,all-year,all-week,morning,heatpump,2020,0.41790000000
1,heat,R1,2024,7,all-year,all-week,morning,heatpump,2022,0.05010000000
1,heat,R2,2022,0,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R2,2022,2,all-year,all-week,morning,heatpump,2020,0.41790000000
1,heat,R2,2022,4,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R2,2022,6,all-year,all-week,morning,heatpump,2020,0.41790000000
1,heat,R2,2024,0,all-year,all-week,morning,gasboiler,2020,0.14880000000
1,heat,R2,2024,1,all-year,all-week,morning,gasboiler,2022,0.01650000000
1,heat,R2,2024,2,all-year,all-week,morning,heatpump,2020,0.41790000000
