timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,heat,0,2025,2020,gasboiler,all-year,all-week,night,1.00000000000
0,heat,1,2025,2020,heatpump,all-year,all-week,night,1.33330000000
0,heat,1,2030,2020,heatpump,all-year,all-week,night,1.66670000000
0,heat,2,2030,2025,heatpump,all-year,all-week,night,0.40000000000
0,heat,3,2025,2020,gasboiler,all-year,all-week,night,1.00000000000
0,heat,4,2025,2020,heatpump,all-year,all-week,night,1.33330000000
0,heat,4,2030,2020,heatpump,all-year,all-week,night,1.66670000000
0,heat,5,2030,2025,heatpump,all-year,all-week,night,0.40000000000
0,CO2f,0,2025,2020,gasboiler,all-year,all-week,night,64.71000000000
0,CO2f,3,2025,2020,gasboiler,all-year,all-week,night,64.71000000000
1,heat,0,2025,2020,gasboiler,all-year,all-week,morning,1.50000000000
1,heat,1,2025,2020,heatpump,all-year,all-week,morning,2.00000000000
1,heat,1,2030,2020,heatpump,all-year,all-week,morning,2.50000000000
1,heat,2,2030,2025,heatpump,all-year,all-week,morning,0.60000000000
1,heat,3,2025,2020,gasboiler,all-year,all-week,morning,1.50000000000
1,heat,4,2025,2020,heatpump,all-year,all-week,morning,2.00000000000
1,heat,4,2030,2020,heatpump,all-year,all-week,morning,2.50000000000
1,heat,5,2030,2025,heatpump,all-year,all-week,morning,0.60000000000
1,CO2f,0,2025,2020,gasboiler,all-year,all-week,morning,97.06500000000
1,CO2f,3,2025,2020,gasboiler,all-year,all-week,morning,97.06500000000
2,heat,0,2025,2020,gasboiler,all-year,all-week,afternoon,1.00000000000
2,heat,1,2025,2020,heatpump,all-year,all-week,afternoon,1.33330000000
2,heat,1,2030,2020,heatpump,all-year,all-week,afternoon,1.66670000000
2,heat,2,2030,2025,heatpump,all-year,all-week,afternoon,0.40000000000
2,heat,3,2025,2020,gasboiler,all-year,all-week,afternoon,1.00000000000
2,heat,4,2025,2020,heatpump,all-year,all-week,afternoon,1.33330000000
2,heat,4,2030,2020,heatpump,all-year,all-week,afternoon,1.66670000000
2,heat,5,2030,2025,heatpump,all-year,all-week,afternoon,0.40000000000
2,CO2f,0,2025,2020,gasboiler,all-year,all-week,afternoon,64.71000000000
2,CO2f,3,2025,2020,gasboiler,all-year,all-week,afternoon,64.71000000000
3,heat,0,2025,2020,gasboiler,all-year,all-week,early-peak,1.50000000000
3,heat,1,2025,2020,heatpump,all-year,all-week,early-peak,2.00000000000
3,heat,1,2030,2020,heatpump,all-year,all-week,early-peak,2.50000000000
3,heat,2,2030,2025,heatpump,all-year,all-week,early-peak,0.60000000000
3,heat,3,2025,2020,gasboiler,all-year,all-week,early-peak,1.50000000000
3,heat,4,2025,2020,heatpump,all-year,all-week,early-peak,2.00000000000
3,heat,4,2030,2020,heatpump,all-year,all-week,early-peak,2.50000000000
3,heat,5,2030,2025,heatpump,all-year,all-week,early-peak,0.60000000000
3,CO2f,0,2025,2020,gasboiler,all-year,all-week,early-peak,97.06500000000
3,CO2f,3,2025,2020,gasboiler,all-year,all-week,early-peak,97.06500000000
4,heat,0,2025,2020,gasboiler,all-year,all-week,late-peak,3.00000000000
4,heat,1,2025,2020,heatpump,all-year,all-week,late-peak,4.00000000000
4,heat,1,2030,2020,heatpump,all-year,all-week,late-peak,5.00000000000
4,heat,2,2030,2025,heatpump,all-year,all-week,late-peak,1.20000000000
4,heat,3,2025,2020,gasboiler,all-year,all-week,late-peak,3.00000000000
4,heat,4,2025,2020,heatpump,all-year,all-week,late-peak,4.00000000000
4,heat,4,2030,2020,heatpump,all-year,all-week,late-peak,5.00000000000
4,heat,5,2030,2025,heatpump,all-year,all-week,late-peak,1.20000000000
4,CO2f,0,2025,2020,gasboiler,all-year,all-week,late-peak,194.13000000000
4,CO2f,3,2025,2020,gasboiler,all-year,all-week,late-peak,194.13000000000
5,heat,0,2025,2020,gasboiler,all-year,all-week,evening,2.00000000000
5,heat,1,2025,2020,heatpump,all-year,all-week,evening,2.66670000000
5,heat,1,2030,2020,heatpump,all-year,all-week,evening,3.33330000000
5,heat,2,2030,2025,heatpump,all-year,all-week,evening,0.80000000000
5,heat,3,2025,2020,gasboiler,all-year,all-week,evening,2.00000000000
5,heat,4,2025,2020,heatpump,all-year,all-week,evening,2.66670000000
5,heat,4,2030,2020,heatpump,all-year,all-week,evening,3.33330000000
5,heat,5,2030,2025,heatpump,all-year,all-week,evening,0.80000000000
5,CO2f,0,2025,2020,gasboiler,all-year,all-week,evening,129.42000000000
5,CO2f,3,2025,2020,gasboiler,all-year,all-week,evening,129.42000000000
