timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,heat,0,2020,gasboiler,2020,all-year,all-week,night,1.00000000000
0,heat,0,2025,gasboiler,2020,all-year,all-week,night,1.00000000000
0,heat,1,2020,gasboiler,2020,all-year,all-week,night,1.00000000000
0,heat,1,2025,gasboiler,2020,all-year,all-week,night,1.00000000000
0,heat,2,2025,heatpump,2020,all-year,all-week,night,1.33330000000
0,heat,3,2025,heatpump,2020,all-year,all-week,night,1.33330000000
0,CO2f,0,2020,gasboiler,2020,all-year,all-week,night,64.71000000000
0,CO2f,0,2025,gasboiler,2020,all-year,all-week,night,64.71000000000
0,CO2f,1,2020,gasboiler,2020,all-year,all-week,night,64.71000000000
0,CO2f,1,2025,gasboiler,2020,all-year,all-week,night,64.71000000000
1,heat,0,2020,gasboiler,2020,all-year,all-week,morning,1.50000000000
1,heat,0,2025,gasboiler,2020,all-year,all-week,morning,1.50000000000
1,heat,1,2020,gasboiler,2020,all-year,all-week,morning,1.50000000000
1,heat,1,2025,gasboiler,2020,all-year,all-week,morning,1.50000000000
1,heat,2,2025,heatpump,2020,all-year,all-week,morning,2.00000000000
1,heat,3,2025,heatpump,2020,all-year,all-week,morning,2.00000000000
1,CO2f,0,2020,gasboiler,2020,all-year,all-week,morning,97.06500000000
1,CO2f,0,2025,gasboiler,2020,all-year,all-week,morning,97.06500000000
1,CO2f,1,2020,gasboiler,2020,all-year,all-week,morning,97.06500000000
1,CO2f,1,2025,gasboiler,2020,all-year,all-week,morning,97.06500000000
2,heat,0,2020,gasboiler,2020,all-year,all-week,afternoon,1.00000000000
2,heat,0,2025,gasboiler,2020,all-year,all-week,afternoon,1.00000000000
2,heat,1,2020,gasboiler,2020,all-year,all-week,afternoon,1.00000000000
2,heat,1,2025,gasboiler,2020,all-year,all-week,afternoon,1.00000000000
2,heat,2,2025,heatpump,2020,all-year,all-week,afternoon,1.33330000000
2,heat,3,2025,heatpump,2020,all-year,all-week,afternoon,1.33330000000
2,CO2f,0,2020,gasboiler,2020,all-year,all-week,afternoon,64.71000000000
2,CO2f,0,2025,gasboiler,2020,all-year,all-week,afternoon,64.71000000000
2,CO2f,1,2020,gasboiler,2020,all-year,all-week,afternoon,64.71000000000
2,CO2f,1,2025,gasboiler,2020,all-year,all-week,afternoon,64.71000000000
3,heat,0,2020,gasboiler,2020,all-year,all-week,early-peak,1.50000000000
3,heat,0,2025,gasboiler,2020,all-year,all-week,early-peak,1.50000000000
3,heat,1,2020,gasboiler,2020,all-year,all-week,early-peak,1.50000000000
3,heat,1,2025,gasboiler,2020,all-year,all-week,early-peak,1.50000000000
3,heat,2,2025,heatpump,2020,all-year,all-week,early-peak,2.00000000000
3,heat,3,2025,heatpump,2020,all-year,all-week,early-peak,2.00000000000
3,CO2f,0,2020,gasboiler,2020,all-year,all-week,early-peak,97.06500000000
3,CO2f,0,2025,gasboiler,2020,all-year,all-week,early-peak,97.06500000000
3,CO2f,1,2020,gasboiler,2020,all-year,all-week,early-peak,97.06500000000
3,CO2f,1,2025,gasboiler,2020,all-year,all-week,early-peak,97.06500000000
4,heat,0,2020,gasboiler,2020,all-year,all-week,late-peak,3.00000000000
4,heat,0,2025,gasboiler,2020,all-year,all-week,late-peak,3.00000000000
4,heat,1,2020,gasboiler,2020,all-year,all-week,late-peak,3.00000000000
4,heat,1,2025,gasboiler,2020,all-year,all-week,late-peak,3.00000000000
4,heat,2,2025,heatpump,2020,all-year,all-week,late-peak,4.00000000000
4,heat,3,2025,heatpump,2020,all-year,all-week,late-peak,4.00000000000
4,CO2f,0,2020,gasboiler,2020,all-year,all-week,late-peak,194.13000000000
4,CO2f,0,2025,gasboiler,2020,all-year,all-week,late-peak,194.13000000000
4,CO2f,1,2020,gasboiler,2020,all-year,all-week,late-peak,194.13000000000
4,CO2f,1,2025,gasboiler,2020,all-year,all-week,late-peak,194.13000000000
5,heat,0,2020,gasboiler,2020,all-year,all-week,evening,2.00000000000
5,heat,0,2025,gasboiler,2020,all-year,all-week,evening,2.00000000000
5,heat,1,2020,gasboiler,2020,all-year,all-week,evening,2.00000000000
5,heat,1,2025,gasboiler,2020,all-year,all-week,evening,2.00000000000
5,heat,2,2025,heatpump,2020,all-year,all-week,evening,2.66670000000
5,heat,3,2025,heatpump,2020,all-year,all-week,evening,2.66670000000
5,CO2f,0,2020,gasboiler,2020,all-year,all-week,evening,129.42000000000
5,CO2f,0,2025,gasboiler,2020,all-year,all-week,evening,129.42000000000
5,CO2f,1,2020,gasboiler,2020,all-year,all-week,evening,129.42000000000
5,CO2f,1,2025,gasboiler,2020,all-year,all-week,evening,129.42000000000
